code_prelevement;code_commune;code_reseau;date_prelevement;bact;pc
97200106191;97202;;2023-12-28T10:35:00Z;C;C
97200105800;97209;;2023-12-27T13:20:00Z;C;C
97200105787;97234;;2023-12-27T12:32:00Z;C;C
97200105799;97218;;2023-12-27T11:10:00Z;C;C
97200105802;97230;;2023-12-27T10:50:00Z;C;C
97200106946;97226;;2023-12-27T10:45:00Z;C;C
97200105798;97201;;2023-12-27T10:30:00Z;C;C
97200105805;97209;;2023-12-27T10:30:00Z;C;C
97200106608;97222;;2023-12-27T10:05:00Z;C;C
97200105804;97209;;2023-12-27T09:45:00Z;C;C
97200106201;97224;;2023-12-26T13:20:00Z;C;C
97200105793;97228;;2023-12-26T12:52:00Z;C;C
97200105839;97212;;2023-12-26T11:50:00Z;;C
97200105791;97201;;2023-12-26T11:50:00Z;C;C
97200106944;97212;;2023-12-26T11:20:00Z;C;C
97200105792;97228;;2023-12-26T11:00:00Z;C;C
97200106200;97211;;2023-12-26T11:00:00Z;N;C
97200106192;97232;;2023-12-26T10:55:00Z;C;C
97200105797;97212;;2023-12-26T10:35:00Z;C;C
97200105795;97224;;2023-12-26T10:30:00Z;C;C
97200105796;97212;;2023-12-26T10:00:00Z;C;C
97200105794;97213;;2023-12-26T09:40:00Z;C;C
97200105848;97232;;2023-12-21T10:40:00Z;C;C
97200105789;97203;;2023-12-20T12:00:00Z;C;C
97200105788;97203;;2023-12-20T11:30:00Z;C;C
97200105803;97209;;2023-12-20T11:20:00Z;C;C
97200105786;97209;;2023-12-20T11:00:00Z;C;C
97200106188;97214;;2023-12-20T10:40:00Z;C;C
97200106594;97208;;2023-12-19T13:10:00Z;C;C
97200106942;97208;;2023-12-19T12:45:00Z;C;C
97200106219;97222;;2023-12-19T12:15:00Z;C;C
97200106952;97225;;2023-12-19T11:20:00Z;C;C
97200106217;97212;;2023-12-19T10:40:00Z;C;C
97200106218;97217;;2023-12-19T10:00:00Z;C;C
97200106223;97229;;2023-12-19T09:05:00Z;C;C
97200105745;97228;;2023-12-18T13:10:00Z;C;C
97200106938;97224;;2023-12-18T13:05:00Z;C;C
97200106936;97228;;2023-12-18T12:30:00Z;C;C
97200105785;97209;;2023-12-18T11:55:00Z;C;C
97200105843;97228;;2023-12-18T11:20:00Z;C;C
97200106940;97212;;2023-12-18T10:50:00Z;C;C
97200106939;97222;;2023-12-18T10:40:00Z;C;C
97200106914;97209;;2023-12-18T10:40:00Z;C;C
97200106607;97213;;2023-12-18T09:40:00Z;C;C
97200105684;97234;;2023-12-14T12:45:00Z;C;C
97200106606;97210;;2023-12-14T12:15:00Z;C;C
97200105761;97234;;2023-12-14T11:40:00Z;C;C
97200105685;97229;;2023-12-14T11:10:00Z;C;C
97200105765;97226;;2023-12-14T11:00:00Z;C;C
97200105764;97206;;2023-12-14T10:52:00Z;C;C
97200106384;97213;;2023-12-14T09:15:00Z;C;C
97200106602;97213;;2023-12-13T13:40:00Z;C;C
97200106385;97224;;2023-12-13T13:10:00Z;C;C
97200107086;97224;;2023-12-13T12:30:00Z;C;C
97200106601;97230;;2023-12-13T12:22:00Z;C;C
97200106603;97224;;2023-12-13T11:40:00Z;C;C
97200107085;97214;;2023-12-13T10:30:00Z;C;C
97200106386;97213;;2023-12-13T10:30:00Z;C;C
97200106605;97231;;2023-12-13T09:49:00Z;C;C
97200106610;97229;;2023-12-13T09:35:00Z;C;C
97200107077;97209;;2023-12-12T13:15:00Z;C;C
97200106935;97214;;2023-12-12T12:55:00Z;C;C
97200106391;97209;;2023-12-12T12:45:00Z;C;C
97200106913;97209;;2023-12-12T12:15:00Z;C;C
97200107191;97209;;2023-12-12T11:15:00Z;C;C
97200106600;97222;;2023-12-12T10:45:00Z;C;C
97200106599;97222;;2023-12-12T10:20:00Z;C;C
97200106598;97213;;2023-12-12T08:40:00Z;C;C
97200106911;97233;;2023-12-11T13:25:00Z;C;C
97200105734;97233;;2023-12-11T13:15:00Z;C;C
97200106918;97218;;2023-12-11T12:30:00Z;C;C
97200105736;97218;;2023-12-11T12:15:00Z;C;C
97200106292;97225;;2023-12-11T11:50:00Z;C;C
97200105735;97209;;2023-12-11T11:30:00Z;C;C
97200105737;97225;;2023-12-11T11:20:00Z;C;C
97200106596;97212;;2023-12-11T09:55:00Z;C;C
97200106595;97212;;2023-12-11T09:15:00Z;;C
97200106597;97212;;2023-12-11T08:35:00Z;C;C
97200105744;97211;;2023-12-05T13:20:00Z;C;C
97200106917;97201;;2023-12-05T12:10:00Z;C;C
97200107083;97222;;2023-12-05T11:50:00Z;C;C
97200105743;97226;;2023-12-05T11:45:00Z;C;C
97200105742;97217;;2023-12-05T11:00:00Z;C;C
97200106700;97228;;2023-12-05T10:25:00Z;C;C
97200105713;97217;;2023-12-04T13:00:00Z;C;C
97200105724;97209;;2023-12-04T12:10:00Z;C;C
97200105740;97220;;2023-12-04T12:00:00Z;C;C
97200105704;97209;;2023-12-04T11:30:00Z;C;C
97200105739;97227;;2023-12-04T11:00:00Z;C;C
97200106604;97209;;2023-12-04T11:00:00Z;C;C
97200106295;97209;;2023-12-04T10:40:00Z;C;C
97200105741;97221;;2023-12-04T10:00:00Z;C;C
97200105696;97212;;2023-12-04T09:50:00Z;C;C
97200105701;97212;;2023-12-04T09:17:00Z;;C
97200106334;97224;;2023-12-04T08:20:00Z;C;C
97200105759;97222;;2023-11-30T09:35:00Z;C;C
97200105747;97213;;2023-11-29T11:20:00Z;C;C
97200105746;97207;;2023-11-29T10:45:00Z;C;C
97200105767;97209;;2023-11-29T10:30:00Z;C;C
97200105750;97209;;2023-11-29T10:05:00Z;C;C
97200105751;97229;;2023-11-29T09:45:00Z;C;C
97200105762;97224;;2023-11-28T12:50:00Z;C;C
97200105757;97213;;2023-11-28T10:30:00Z;C;C
97200105758;97232;;2023-11-28T09:40:00Z;C;C
97200105760;97213;;2023-11-28T09:30:00Z;C;C
97200105840;97212;;2023-11-27T12:40:00Z;;C
97200105756;97212;;2023-11-27T11:30:00Z;C;C
97200106297;97209;;2023-11-27T11:20:00Z;C;C
97200105768;97209;;2023-11-27T10:45:00Z;C;C
97200106906;97224;;2023-11-27T10:40:00Z;C;C
97200107196;97214;;2023-11-27T10:15:00Z;C;C
97200106874;97209;;2023-11-27T10:10:00Z;C;C
97200105763;97214;;2023-11-27T09:30:00Z;C;C
97200105766;97209;;2023-11-27T08:55:00Z;C;C
97200106298;97220;;2023-11-23T10:20:00Z;C;C
97200106883;97208;;2023-11-21T13:20:00Z;C;C
97200105719;97216;;2023-11-21T13:15:00Z;C;C
97200105688;97212;;2023-11-21T11:35:00Z;;C
97200107121;97233;;2023-11-21T11:00:00Z;C;C
97200105689;97212;;2023-11-21T11:00:00Z;C;C
97200105687;97234;;2023-11-21T10:15:00Z;C;C
97200106591;97212;;2023-11-21T10:15:00Z;C;C
97200105686;97209;;2023-11-20T12:40:00Z;C;C
97200106881;97222;;2023-11-20T11:28:00Z;C;C
97200105690;97209;;2023-11-20T11:24:00Z;C;C
97200106879;97209;;2023-11-20T11:15:00Z;C;C
97200105692;97201;;2023-11-20T11:00:00Z;C;C
97200105699;97226;;2023-11-20T10:30:00Z;C;C
97200106590;97221;;2023-11-20T09:20:00Z;C;C
97200106882;97224;;2023-11-20T09:10:00Z;C;C
97200106880;97224;;2023-11-20T08:30:00Z;C;C
97200106589;97223;;2023-11-16T11:30:00Z;C;C
97200106878;97202;;2023-11-15T10:44:00Z;C;C
97200105716;97213;;2023-11-15T10:44:00Z;C;C
97200105715;97210;;2023-11-15T09:20:00Z;C;C
97200107074;97213;;2023-11-15T08:55:00Z;C;C
97200105698;97218;;2023-11-14T12:44:00Z;C;C
97200105694;97210;;2023-11-14T12:20:00Z;C;C
97200105720;97218;;2023-11-14T12:15:00Z;C;C
97200106892;97229;;2023-11-14T11:45:00Z;C;C
97200106896;97225;;2023-11-14T11:20:00Z;C;C
97200105769;97203;;2023-11-14T11:00:00Z;C;C
97200106895;97233;;2023-11-14T10:20:00Z;C;C
97200105710;97234;;2023-11-14T09:30:00Z;C;C
97200106888;97216;;2023-11-14T09:19:00Z;N;C
97200106889;97214;;2023-11-13T13:00:00Z;C;C
97200106864;97214;;2023-11-13T12:55:00Z;C;C
97200105673;97215;;2023-11-13T11:50:00Z;C;C
97200105709;97212;;2023-11-13T11:14:00Z;C;C
97200105666;97222;;2023-11-13T10:40:00Z;C;C
97200105693;97212;;2023-11-13T10:38:00Z;;C
97200105717;97222;;2023-11-13T10:10:00Z;C;C
97200105682;97209;;2023-11-13T09:53:00Z;C;C
97200106890;97224;;2023-11-13T09:13:00Z;C;C
97200105676;97225;;2023-11-09T11:30:00Z;C;C
97200105652;97233;;2023-11-09T10:00:00Z;C;C
97200105653;97234;;2023-11-09T09:15:00Z;C;C
97200105668;97227;;2023-11-08T13:10:00Z;C;C
97200105677;97213;;2023-11-08T11:45:00Z;C;C
97200105679;97209;;2023-11-08T11:07:00Z;C;C
97200106863;97206;;2023-11-07T12:15:00Z;C;C
97200105672;97226;;2023-11-07T10:50:00Z;C;C
97200105714;97226;;2023-11-07T10:00:00Z;C;C
97200105697;97217;;2023-11-07T09:35:00Z;C;C
97200105708;97217;;2023-11-07T09:13:00Z;C;C
97200106859;97228;;2023-11-06T12:00:00Z;C;C
97200105707;97211;;2023-11-06T12:00:00Z;C;C
97200105661;97209;;2023-11-06T12:00:00Z;C;C
97200105658;97209;;2023-11-06T11:10:00Z;C;C
97200107082;97222;;2023-11-06T10:40:00Z;C;C
97200106862;97230;;2023-11-06T10:37:00Z;C;C
97200107081;97209;;2023-11-06T10:15:00Z;C;C
97200106860;97212;;2023-11-06T10:08:00Z;C;C
97200107080;97230;;2023-11-06T10:00:00Z;C;C
97200106861;97222;;2023-11-06T09:35:00Z;C;C
97200105861;97224;;2023-11-06T08:18:00Z;C;C
97200105678;97224;;2023-10-30T13:10:00Z;C;C
97200105669;97224;;2023-10-30T12:40:00Z;C;C
97200106304;97224;;2023-10-30T12:00:00Z;C;C
97200105718;97212;;2023-10-30T11:30:00Z;C;C
97200105711;97233;;2023-10-30T11:30:00Z;C;C
97200105722;97222;;2023-10-30T11:10:00Z;C;C
97200105702;97212;;2023-10-30T10:55:00Z;;C
97200105723;97209;;2023-10-30T10:53:00Z;C;C
97200105703;97234;;2023-10-30T10:05:00Z;C;C
97200105674;97213;;2023-10-30T09:45:00Z;C;C
97200105681;97209;;2023-10-30T09:30:00Z;C;C
97200105664;97204;;2023-10-30T08:56:00Z;C;C
