code_prelevement;code_commune;code_reseau;date_prelevement;bact;pc
97200104912;97209;;2022-12-28T09:45:00Z;C;C
97200104960;97209;;2022-12-28T09:20:00Z;C;C
97200104916;97209;;2022-12-28T08:40:00Z;C;C
97200104927;97209;;2022-12-28T08:15:00Z;C;C
97200104961;97214;;2022-12-27T11:55:00Z;C;C
97200104922;97212;;2022-12-27T11:25:00Z;;C
97200105189;97212;;2022-12-27T11:00:00Z;C;C
97200104918;97212;;2022-12-27T10:25:00Z;C;C
97200104906;97203;;2022-12-27T10:20:00Z;C;C
97200105190;97229;;2022-12-27T09:55:00Z;C;C
97200104920;97224;;2022-12-27T09:50:00Z;C;C
97200104921;97224;;2022-12-27T09:25:00Z;C;C
97200104915;97206;;2022-12-27T09:20:00Z;C;C
97200104907;97233;;2022-12-27T09:15:00Z;C;C
97200104962;97209;;2022-12-27T09:15:00Z;C;C
97200104913;97226;;2022-12-27T09:13:00Z;C;C
97200104914;97224;;2022-12-27T09:10:00Z;C;C
97200104910;97209;;2022-12-27T08:25:00Z;C;C
97200104938;97228;;2022-12-26T11:45:00Z;C;C
97200104909;97229;;2022-12-26T11:40:00Z;C;C
97200104911;97229;;2022-12-26T11:05:00Z;C;C
97200104908;97222;;2022-12-26T11:00:00Z;;C
97200104897;97209;;2022-12-21T11:00:00Z;C;C
97200104896;97219;;2022-12-21T10:30:00Z;C;C
97200104894;97210;;2022-12-21T10:00:00Z;C;C
97200104898;97213;;2022-12-20T12:45:00Z;C;C
97200104899;97222;;2022-12-20T12:20:00Z;C;C
97200104902;97230;;2022-12-20T11:45:00Z;C;C
97200104905;97228;;2022-12-20T10:40:00Z;C;C
97200104895;97213;;2022-12-20T09:30:00Z;C;C
97200104904;97212;;2022-12-19T13:20:00Z;;C
97200104900;97212;;2022-12-19T12:35:00Z;C;C
97200104901;97212;;2022-12-19T11:45:00Z;C;C
97200104903;97203;;2022-12-19T10:20:00Z;C;C
97200104805;97232;;2022-12-15T09:45:00Z;C;C
97200104823;97213;;2022-12-15T09:10:00Z;C;C
97200104822;97209;;2022-12-14T12:20:00Z;C;C
97200104833;97209;;2022-12-14T12:10:00Z;C;C
97200104807;97228;;2022-12-14T11:30:00Z;C;C
97200105108;97225;;2022-12-14T10:50:00Z;C;C
97200104806;97222;;2022-12-14T10:10:00Z;C;C
97200104809;97209;;2022-12-14T09:40:00Z;C;C
97200104808;97226;;2022-12-14T09:00:00Z;C;C
97200104829;97222;;2022-12-13T11:47:00Z;;C
97200104820;97217;;2022-12-13T11:20:00Z;C;C
97200104821;97227;;2022-12-13T10:45:00Z;C;C
97200104818;97234;;2022-12-13T10:30:00Z;C;C
97200104824;97221;;2022-12-13T10:10:00Z;C;C
97200104834;97229;;2022-12-13T09:30:00Z;C;C
97200104819;97231;;2022-12-13T09:30:00Z;C;C
97200104830;97212;;2022-12-12T12:30:00Z;;C
97200104812;97211;;2022-12-12T12:00:00Z;C;C
97200104810;97212;;2022-12-12T11:15:00Z;C;C
97200105106;97224;;2022-12-12T10:50:00Z;C;C
97200104917;97212;;2022-12-12T10:10:00Z;C;C
97200104811;97224;;2022-12-12T10:00:00Z;C;C
97200104814;97217;;2022-12-08T11:00:00Z;C;C
97200104861;97207;;2022-12-08T09:25:00Z;C;C
