indicator_id;territoire;perimeter_id;value;unit;source_file;coverage_status;quality_status;record_role;definition;note
ANC_005;Martinique;Martinique;76;nb;export-portail_assainissement_2023(1).csv;COMPLETE;OK;PRODUCTION;Nombre de STEU de nature 'Privé' en service dans l'export du portail.;
ANC_006;Martinique;Martinique;25877.0;EH;export-portail_assainissement_2023(1).csv;COMPLETE;OK;PRODUCTION;Somme des capacités nominales des STEU de nature 'Privé'.;
ANC_008;Martinique;Martinique;82.894737;%;export-portail_assainissement_2023(1).csv;COMPLETE;OK;PRODUCTION;Part des STEU privées dont la capacité nominale est strictement inférieure à 500 EH.;
ANC_007;Martinique;Martinique;7.159992;%;export-portail_assainissement_2023(1).csv;COMPLETE;OK;PRODUCTION;Capacité privée / capacité nominale cumulée des STEU urbaines > 200 EH.;Définition alignée sur le rapport 2022.
ANC_009_CANDIDATE;Martinique;Martinique;40.789474;%;export-portail_assainissement_2023(1).csv;COMPLETE;DEFINITION_TO_CONFIRM;DIAGNOSTIC;Part des STEU privées disposant d'un statut de conformité globale réglementaire de performance Oui/Non.;Ne pas publier comme ANC_009 avant validation que ce statut équivaut à 'données de conformité transmises'.
AC_003;Martinique;Martinique;111;nb;export-portail_assainissement_2023(1).csv;COMPLETE;OK;PRODUCTION;Nombre de STEU de nature 'Urbain' en service.;
AC_004;Martinique;Martinique;71;nb;export-portail_assainissement_2023(1).csv;COMPLETE;OK;PRODUCTION;Nombre de STEU urbaines de capacité nominale strictement supérieure à 200 EH.;
AC_005;Martinique;Martinique;361411.0;EH;export-portail_assainissement_2023(1).csv;COMPLETE;OK;PRODUCTION;Somme des capacités nominales des STEU urbaines > 200 EH.;
AC_006;Martinique;Martinique;41.503994;%;export-portail_assainissement_2023(1).csv;COMPLETE;OK;PRODUCTION;Part de capacité nominale portée par les 4 plus grosses STEU urbaines >200 EH.;
AC_007;Martinique;Martinique;8.466815;%;export-portail_assainissement_2023(1).csv;COMPLETE;OK;PRODUCTION;Part de capacité nominale portée par les 42 plus petites STEU urbaines >200 EH.;
