Année,Code Sandre de l'ouvrage ,Nom de l'ouvrage,Commentaire,Code alternatif de l'ouvrage,Origine du code alternatif,Département,Code INSEE,Commune,Code INSEE déclaré,Lieu dit,Début,Fin,Volume (m3),Code usage BNPE,Libellé usage BNPE,Code de l'usage déclaré,Usage déclaré,Type d'eau,Longitude,Latitude,Précision de la localisation,Mode d'obtention du volume,Code du statut du volume d'eau,Libellé du statut du volume d'eau,Code de qualification du volume d'eau,Libellé de qualification du volume d'eau,Date de début d'exploitation d'un ouvrage de prélèvement,Date de fin d'exploitation d'un ouvrage de prélèvement,Nature du point de prélèvement,Code BSS,Code de la zone hydrographique,Nom de la zone hydrographique,Code entité hydrographique cours d'eau,Code entité hydrographique plan d'eau,Plan d'eau non référencé,Information complémentaire de la ressource en eau,Code BDRHFV1,Libellé entité hydrologique BDRHFV1,Code BDLISA,Libellé entité hydrologique BDLISA,Code de la mer,Libellé de la mer
2023,OPR0000276752,Rivière Lézarde - CONSEIL GENERAL,,ODP-B250,OEMAR,972,97212,GROS-MORNE,97212,,31/12/2022,30/12/2023,10555578,IRR,IRRIGATION,2,IRRIGATION,CONT,-67.48929058485463,1.3259109207824343E-4,1,EST,1,Contrôlé Niveau 1,1,Correcte,31/12/1899,,P,,2503,,25031480,,non,,,,,,,
2023,OPR0000276733,Blanche,,ODP-0251,OEMAR,972,97224,SAINT-JOSEPH,97224,,31/12/2022,30/12/2023,10147018,AEP,EAU POTABLE,5,AEP,CONT,-61.04498912469492,14.68352270145589,5,MES,1,Contrôlé Niveau 1,1,Correcte,31/12/1899,,P,,2512,,25121080,,non,,,,,,,
2023,OPR0000276729,Blanche Bouliki,,ODP-0260,OEMAR,972,97224,SAINT-JOSEPH,97224,,31/12/2022,30/12/2023,9316078,AEP,EAU POTABLE,5,AEP,CONT,-61.04498912469492,14.68352270145589,5,MES,1,Contrôlé Niveau 1,1,Correcte,31/12/1899,,P,,2512,,25121080,,non,,,,,,,
2023,OPR0000276713,Capot,,ODP-0249,OEMAR,972,97214,LORRAIN,97214,,31/12/2022,30/12/2023,7091214,AEP,EAU POTABLE,5,AEP,CONT,-61.08087028159415,14.799495436620607,5,MES,1,Contrôlé Niveau 1,1,Correcte,31/12/1899,,P,,2115,,21150560,,non,,,,,,,
2023,OPR0000276714,Lézarde,,ODP-A250,OEMAR,972,97212,GROS-MORNE,97212,,31/12/2022,30/12/2023,6552386,AEP,EAU POTABLE,5,AEP,CONT,-61.024570542369574,14.708455418650365,5,EST,1,Contrôlé Niveau 1,1,Correcte,31/12/1899,,P,,2503,,25031480,,non,,,,,,,
2023,OPR0000276728,Absalon 1,,ODP-0261,OEMAR,972,97209,FORT-DE-FRANCE,97209,,31/12/2022,30/12/2023,6084504,AEP,EAU POTABLE,5,AEP,CONT,-61.07049743596134,14.649201432964205,5,EST,1,Contrôlé Niveau 1,1,Correcte,31/12/1899,,P,,2301,,23010580,,non,,,,,,,
2023,OPR0000276718,Galion Bras Gommier,,ODP-0270,OEMAR,972,97212,GROS-MORNE,97212,,31/12/2022,30/12/2023,1673973,AEP,EAU POTABLE,5,AEP,CONT,-61.024570542369574,14.708455418650365,5,MES,1,Contrôlé Niveau 1,1,Correcte,31/12/1899,,P,,2221,,22211630,,non,,,,,,,
2023,OPR0000276720,Lorrain,,ODP-0269,OEMAR,972,97214,LORRAIN,97214,,31/12/2022,30/12/2023,1367033,AEP,EAU POTABLE,5,AEP,CONT,-61.08087028159415,14.799495436620607,5,MES,1,Contrôlé Niveau 1,1,Correcte,31/12/1899,,P,,2205,,22051300,,non,,,,,,,
2023,OPR0000276737,Morestin,,ODP-0256,OEMAR,972,97218,MORNE-ROUGE,97218,,31/12/2022,30/12/2023,1243541,AEP,EAU POTABLE,5,AEP,SOUT,-61.12185325461485,14.769544323206384,5,MES,1,Contrôlé Niveau 1,1,Correcte,31/12/1899,,P,1168ZZ0053,,,,,non,,,,972AF07,Hyaloclastites du Morne Jacob,,
2023,OPR0000276751,Rivière Falaise (haut),,ODP-0003,OEMAR,972,97203,BASSE-POINTE,97203,,31/12/2022,30/12/2023,614982,IRR,IRRIGATION,2,IRRIGATION,CONT,-67.48929153466013,1.3405383512941026E-4,1,EST,1,Contrôlé Niveau 1,1,Correcte,31/12/1899,,P,,2104,,21040200,,non,,,,,,,
2023,OPR0000276778,Rivière du Lorrain - PER LAGRANGE,,ODP-0353,OEMAR,972,97216,MARIGOT,97216,,31/12/2022,30/12/2023,491960,IRR,IRRIGATION,2,IRRIGATION,CONT,-12.947114685336924,9.633179476124443,1,MES,1,Contrôlé Niveau 1,1,Correcte,31/12/1899,,P,,,,,,non,,,,,,,
2023,OPR0000276747,Rivière Poquet (prise haute Leyritz),,ODP-0278,OEMAR,972,97203,BASSE-POINTE,97203,,31/12/2022,30/12/2023,407235,IRR,IRRIGATION,2,IRRIGATION,CONT,-67.48929129208652,1.3402325951336836E-4,1,EST,1,Contrôlé Niveau 1,1,Correcte,31/12/1899,,P,,2106,,21060400,,non,,,,,,,
2023,OPR0000639975,Source du Mont Vert -  ASA MONT VERT,,ODP-0394,OEMAR,972,97222,ROBERT,97222,,31/12/2022,30/12/2023,285022,IRR,IRRIGATION,2,IRRIGATION,CONT,-67.4892900128052,1.3251734982182542E-4,1,MES,1,Contrôlé Niveau 1,1,Correcte,31/12/1899,,P,,2226,,22260280,,non,,,,,,,
2023,OPR0000276744,Rivière Roche (gravitaire),,ODP-0009,OEMAR,972,97203,BASSE-POINTE,97203,,31/12/2022,30/12/2023,243007,IRR,IRRIGATION,2,IRRIGATION,CONT,-67.48929154871679,1.3411938790066667E-4,1,EST,1,Contrôlé Niveau 1,1,Correcte,31/12/1899,,P,,2104,,21040210,,non,,,,,,,
2023,OPR0000276808,Captage,,ODP-0175,OEMAR,972,97225,SAINT-PIERRE,97225,,31/12/2022,30/12/2023,233613,IND,"INDUSTRIE et ACTIVITES ECONOMIQUES (hors irrigation, hors énergie)",4B,Industrie hors agro-alim,SOUT,-67.4892921660269,1.333398437248645E-4,1,MES,0,Non qualifié,1,Correcte,31/12/1899,,F,,,,,,non,,,,972AC05,Andésites de l'édifice initial du Mont Conil,,
2023,OPR0000276746,Rivière Macouba (gravitaire),,ODP-0010,OEMAR,972,97203,BASSE-POINTE,97203,,31/12/2022,30/12/2023,219183,IRR,IRRIGATION,2,IRRIGATION,CONT,-67.48929174601165,1.339618014491218E-4,1,EST,1,Contrôlé Niveau 1,1,Correcte,31/12/1899,,P,,2103,,21030480,,non,,,,,,,
2023,OPR0000276736,Attila,,ODP-0259,OEMAR,972,97233,MORNE-VERT,97233,,31/12/2022,30/12/2023,212608,AEP,EAU POTABLE,5,AEP,SOUT,-61.13602598165926,14.704653003726108,5,MES,1,Contrôlé Niveau 1,1,Correcte,31/12/1899,,P,1173ZZ0068,,,,,non,,,,972AF07,Hyaloclastites du Morne Jacob,,
2023,OPR0000276725,Montagne Pelée 1 Pécoul FR3,,ODP-0272,OEMAR,972,97201,AJOUPA-BOUILLON,97201,,31/12/2022,30/12/2023,203344,AEP,EAU POTABLE,5,AEP,SOUT,-61.118605348598635,14.815980150865826,5,MES,1,Contrôlé Niveau 1,1,Correcte,31/12/1899,,P,1168ZZ0051,,,,,non,,,,972AC05,Andésites de l'édifice initial du Mont Conil,,
2023,OPR0000493792,Rivière Blanche - SIBAN Station STA - 48,,ODP-0355,OEMAR,972,97224,SAINT-JOSEPH,97224,,31/12/2022,30/12/2023,193682,IRR,IRRIGATION,2,IRRIGATION,CONT,-67.48929057041268,1.3227536004941794E-4,1,MES,1,Contrôlé Niveau 1,1,Correcte,31/12/1899,,P,,2401,,24010520,,non,,,,,,,
