code_ouvrage;nom_ouvrage;code_alternatif;origine_code_alternatif;departement;code_insee;commune;lieu_dit;type_eau;longitude;latitude;precision_localisation;code_bss;code_zone_hydro;nom_zone_hydro;code_entite_hydro_cours_eau;code_bdlisa;libelle_bdlisa;date_debut_exploitation;date_fin_exploitation
OPR0000276722;Fonds Les Sources;ODP-0265;OEMAR;972;97201;AJOUPA-BOUILLON;;SOUT;-61.118605348598635;14.815980150865826;5;1168ZZ0046;;;;972AF01;Formations des andésites;;
OPR0000276724;Marc Cécile;ODP-0267;OEMAR;972;97201;AJOUPA-BOUILLON;;SOUT;-61.118605348598635;14.815980150865826;5;1168ZZ0047;;;;972AF01;Formations des andésites;;
OPR0000276725;Montagne Pelée 1 Pécoul FR3;ODP-0272;OEMAR;972;97201;AJOUPA-BOUILLON;;SOUT;-61.118605348598635;14.815980150865826;5;1168ZZ0051;;;;972AC05;Andésites de l'édifice initial du Mont Conil;;
OPR0000276726;Montagne Pelée 2;ODP-0294;OEMAR;972;97201;AJOUPA-BOUILLON;;SOUT;-61.118605348598635;14.815980150865826;5;1168ZZ0051;;;;972AC05;Andésites de l'édifice initial du Mont Conil;;
OPR0000276741;Rivière Ajoupa-Bouillon - EDEN SARL;ODP-0002;OEMAR;972;97201;AJOUPA-BOUILLON;;CONT;-67.48929156244186;0.0001335737882288881;1;;2115;;21150470;;;;
OPR0000276715;Demare;ODP-0264;OEMAR;972;97203;BASSE-POINTE;;SOUT;-61.11736704916713;14.840926344506983;5;1168ZZ0048;;;;972AC05;Andésites de l'édifice initial du Mont Conil;;
OPR0000276723;Louison;ODP-0263;OEMAR;972;97203;BASSE-POINTE;;SOUT;-61.11736704916713;14.840926344506983;5;1168ZZ0049;;;;972AC05;Andésites de l'édifice initial du Mont Conil;;
OPR0000639977;Rivière  Poquet Prise haute Leyritz;ODP-0396;OEMAR;972;97203;BASSE-POINTE;;CONT;-67.48929129208652;0.00013402325951336836;1;;2106;;21060400;;;;
OPR0000276743;Rivière Basse Pointe (canal Gradis);ODP-0007;OEMAR;972;97203;BASSE-POINTE;;CONT;-67.48929144077887;0.000134018533336521;1;;2105;;21050440;;;;
OPR0000639981;Rivière Basse Pointe (canal Gradis);ODP-0401;OEMAR;972;97203;BASSE-POINTE;;CONT;-67.48929144077887;0.000134018533336521;1;;2105;;21050440;;;;
OPR0000276742;Rivière Basse Pointe (prise haute  pompage);ODP-0006;OEMAR;972;97203;BASSE-POINTE;;CONT;-67.48929149229305;0.00013391769678162366;1;;2105;;21050440;;;;
OPR0000639978;Rivière Basse Pointe (prise haute  pompage);ODP-0397;OEMAR;972;97203;BASSE-POINTE;;CONT;-67.48929149229305;0.00013391769678162366;1;;2105;;21050440;;;;
OPR0000276751;Rivière Falaise (haut);ODP-0003;OEMAR;972;97203;BASSE-POINTE;;CONT;-67.48929153466013;0.00013405383512941026;1;;2104;;21040200;;;;
OPR0000639976;Rivière Falaise (haut);ODP-0395;OEMAR;972;97203;BASSE-POINTE;;CONT;-67.48929153466013;0.00013405383512941026;1;;2104;;21040200;;;;
OPR0000276748;Rivière Falaise bois neuf;ODP-0352;OEMAR;972;97203;BASSE-POINTE;;CONT;-67.48929139605553;0.000133751370615731;1;;2117;;21170290;;;;
OPR0000276746;Rivière Macouba (gravitaire);ODP-0010;OEMAR;972;97203;BASSE-POINTE;;CONT;-67.48929174601165;0.0001339618014491218;1;;2103;;21030480;;;;
OPR0000639980;Rivière Macouba (gravitaire);ODP-0400;OEMAR;972;97203;BASSE-POINTE;;CONT;-67.48929174601165;0.0001339618014491218;1;;2103;;21030480;;;;
OPR0000276749;Rivière Poquet (canal Pecoul-Chalvet);ODP-0004;OEMAR;972;97203;BASSE-POINTE;;CONT;-67.48929133014428;0.00013391361103742543;1;;2106;;21060400;;;;
OPR0000276750;Rivière Poquet (prise basse Etan / Eyma);ODP-0005;OEMAR;972;97203;BASSE-POINTE;;CONT;-67.48929145919853;0.000133847011992915;1;;2106;;21060400;;;;
OPR0000276747;Rivière Poquet (prise haute Leyritz);ODP-0278;OEMAR;972;97203;BASSE-POINTE;;CONT;-67.48929129208652;0.00013402325951336836;1;;2106;;21060400;;;;
OPR0000276744;Rivière Roche (gravitaire);ODP-0009;OEMAR;972;97203;BASSE-POINTE;;CONT;-67.48929154871679;0.00013411938790066667;1;;2104;;21040210;;;;
OPR0000639982;Rivière Roche (gravitaire);ODP-0405;OEMAR;972;97203;BASSE-POINTE;;CONT;-67.48929154871679;0.00013411938790066667;1;;2104;;21040210;;;;
OPR0000276745;Rivière Roche (prise basse);ODP-0008;OEMAR;972;97203;BASSE-POINTE;;CONT;-67.48929160481798;0.00013404811683649263;1;;2104;;21040210;;;;
OPR0000639979;Rivière Roche (prise basse);ODP-0399;OEMAR;972;97203;BASSE-POINTE;;CONT;-67.48929160481798;0.00013404811683649263;1;;2104;;21040210;;;;
OPR0000276809;Rivière du Cabet Aqualand;ODP-0109;OEMAR;972;97204;CARBET;;CONT;-67.48929182736802;0.00013273159558110825;1;;2322;;23221600;;;;
OPR0000276785;Rivière La Manche - EARL RIVIERE LA MANCHE;ODP-0104;OEMAR;972;97207;DUCOS;;CONT;-67.48929007264208;0.00013136318625508238;1;;2808;;28080350;;;;
OPR0000276786;Rivière La Manche - EARL RIVIERE LA MANCHE Hangar;ODP-B104;OEMAR;972;97207;DUCOS;;CONT;-67.48929002487272;0.00013120946013826462;1;;2803;;28030650;;;;
OPR0000276738;Yang Ting;ODP-0252;OEMAR;972;97208;FONDS-SAINT-DENIS;;SOUT;-61.107722352142325;14.72273962354209;5;1173ZZ0062;;;;972AF07;Hyaloclastites du Morne Jacob;;
OPR0000276728;Absalon 1;ODP-0261;OEMAR;972;97209;FORT-DE-FRANCE;;CONT;-61.07049743596134;14.649201432964205;5;;2301;;23010580;;;;
