annee_reference;code_ouvrage;nom_ouvrage;departement;code_insee;commune;volume_m3;code_usage_bnpe;libelle_usage_bnpe;code_usage_declare;usage_declare;type_eau;longitude;latitude;precision_localisation;mode_obtention_volume;statut_volume;qualification_volume;code_bss;code_zone_hydro;nom_zone_hydro;code_entite_hydro_cours_eau;code_entite_hydro_plan_eau;code_bdlisa;libelle_bdlisa;date_debut_exploitation;date_fin_exploitation;source_file
2023;OPR0000276752;Rivière Lézarde - CONSEIL GENERAL;972;97212;GROS-MORNE;10555578;IRR;IRRIGATION;2;IRRIGATION;CONT;-67.48929058485463;0.00013259109207824343;1;EST;Contrôlé Niveau 1;Correcte;;2503;;25031480;;;;;;prelevements.csv
2023;OPR0000276733;Blanche;972;97224;SAINT-JOSEPH;10147018;AEP;EAU POTABLE;5;AEP;CONT;-61.04498912469492;14.68352270145589;5;MES;Contrôlé Niveau 1;Correcte;;2512;;25121080;;;;;;prelevements.csv
2023;OPR0000276729;Blanche Bouliki;972;97224;SAINT-JOSEPH;9316078;AEP;EAU POTABLE;5;AEP;CONT;-61.04498912469492;14.68352270145589;5;MES;Contrôlé Niveau 1;Correcte;;2512;;25121080;;;;;;prelevements.csv
2023;OPR0000276713;Capot;972;97214;LORRAIN;7091214;AEP;EAU POTABLE;5;AEP;CONT;-61.08087028159415;14.799495436620607;5;MES;Contrôlé Niveau 1;Correcte;;2115;;21150560;;;;;;prelevements.csv
2023;OPR0000276714;Lézarde;972;97212;GROS-MORNE;6552386;AEP;EAU POTABLE;5;AEP;CONT;-61.024570542369574;14.708455418650365;5;EST;Contrôlé Niveau 1;Correcte;;2503;;25031480;;;;;;prelevements.csv
2023;OPR0000276728;Absalon 1;972;97209;FORT-DE-FRANCE;6084504;AEP;EAU POTABLE;5;AEP;CONT;-61.07049743596134;14.649201432964205;5;EST;Contrôlé Niveau 1;Correcte;;2301;;23010580;;;;;;prelevements.csv
2023;OPR0000276718;Galion Bras Gommier;972;97212;GROS-MORNE;1673973;AEP;EAU POTABLE;5;AEP;CONT;-61.024570542369574;14.708455418650365;5;MES;Contrôlé Niveau 1;Correcte;;2221;;22211630;;;;;;prelevements.csv
2023;OPR0000276720;Lorrain;972;97214;LORRAIN;1367033;AEP;EAU POTABLE;5;AEP;CONT;-61.08087028159415;14.799495436620607;5;MES;Contrôlé Niveau 1;Correcte;;2205;;22051300;;;;;;prelevements.csv
2023;OPR0000276737;Morestin;972;97218;MORNE-ROUGE;1243541;AEP;EAU POTABLE;5;AEP;SOUT;-61.12185325461485;14.769544323206384;5;MES;Contrôlé Niveau 1;Correcte;1168ZZ0053;;;;;972AF07;Hyaloclastites du Morne Jacob;;;prelevements.csv
2023;OPR0000276751;Rivière Falaise (haut);972;97203;BASSE-POINTE;614982;IRR;IRRIGATION;2;IRRIGATION;CONT;-67.48929153466013;0.00013405383512941026;1;EST;Contrôlé Niveau 1;Correcte;;2104;;21040200;;;;;;prelevements.csv
2023;OPR0000276778;Rivière du Lorrain - PER LAGRANGE;972;97216;MARIGOT;491960;IRR;IRRIGATION;2;IRRIGATION;CONT;-12.947114685336924;9.633179476124443;1;MES;Contrôlé Niveau 1;Correcte;;;;;;;;;;prelevements.csv
2023;OPR0000276747;Rivière Poquet (prise haute Leyritz);972;97203;BASSE-POINTE;407235;IRR;IRRIGATION;2;IRRIGATION;CONT;-67.48929129208652;0.00013402325951336836;1;EST;Contrôlé Niveau 1;Correcte;;2106;;21060400;;;;;;prelevements.csv
2023;OPR0000639975;Source du Mont Vert -  ASA MONT VERT;972;97222;ROBERT;285022;IRR;IRRIGATION;2;IRRIGATION;CONT;-67.4892900128052;0.00013251734982182542;1;MES;Contrôlé Niveau 1;Correcte;;2226;;22260280;;;;;;prelevements.csv
2023;OPR0000276744;Rivière Roche (gravitaire);972;97203;BASSE-POINTE;243007;IRR;IRRIGATION;2;IRRIGATION;CONT;-67.48929154871679;0.00013411938790066667;1;EST;Contrôlé Niveau 1;Correcte;;2104;;21040210;;;;;;prelevements.csv
2023;OPR0000276808;Captage;972;97225;SAINT-PIERRE;233613;IND;INDUSTRIE et ACTIVITES ECONOMIQUES (hors irrigation, hors énergie);4B;Industrie hors agro-alim;SOUT;-67.4892921660269;0.0001333398437248645;1;MES;Non qualifié;Correcte;;;;;;972AC05;Andésites de l'édifice initial du Mont Conil;;;prelevements.csv
2023;OPR0000276746;Rivière Macouba (gravitaire);972;97203;BASSE-POINTE;219183;IRR;IRRIGATION;2;IRRIGATION;CONT;-67.48929174601165;0.0001339618014491218;1;EST;Contrôlé Niveau 1;Correcte;;2103;;21030480;;;;;;prelevements.csv
2023;OPR0000276736;Attila;972;97233;MORNE-VERT;212608;AEP;EAU POTABLE;5;AEP;SOUT;-61.13602598165926;14.704653003726108;5;MES;Contrôlé Niveau 1;Correcte;1173ZZ0068;;;;;972AF07;Hyaloclastites du Morne Jacob;;;prelevements.csv
2023;OPR0000276725;Montagne Pelée 1 Pécoul FR3;972;97201;AJOUPA-BOUILLON;203344;AEP;EAU POTABLE;5;AEP;SOUT;-61.118605348598635;14.815980150865826;5;MES;Contrôlé Niveau 1;Correcte;1168ZZ0051;;;;;972AC05;Andésites de l'édifice initial du Mont Conil;;;prelevements.csv
2023;OPR0000493792;Rivière Blanche - SIBAN Station STA - 48;972;97224;SAINT-JOSEPH;193682;IRR;IRRIGATION;2;IRRIGATION;CONT;-67.48929057041268;0.00013227536004941794;1;MES;Contrôlé Niveau 1;Correcte;;2401;;24010520;;;;;;prelevements.csv
2023;OPR0000276807;Canal Rivière du Galion;972;97230;TRINITE;184946;IND;INDUSTRIE et ACTIVITES ECONOMIQUES (hors irrigation, hors énergie);4A;Agro-alimentaire;CONT;-67.48929000240707;0.0001327788177237035;1;EST;Non qualifié;Correcte;;2225;;22251012;;;;;;prelevements.csv
2023;OPR0000276734;Urion;972;97233;MORNE-VERT;180540;AEP;EAU POTABLE;5;AEP;CONT;-61.13602598165926;14.704653003726108;5;MES;Contrôlé Niveau 1;Correcte;;2316;;23160850;;;;;;prelevements.csv
2023;OPR0000276745;Rivière Roche (prise basse);972;97203;BASSE-POINTE;174075;IRR;IRRIGATION;2;IRRIGATION;CONT;-67.48929160481798;0.00013404811683649263;1;EST;Contrôlé Niveau 1;Correcte;;2104;;21040210;;;;;;prelevements.csv
2023;OPR0000276742;Rivière Basse Pointe (prise haute  pompage);972;97203;BASSE-POINTE;172169;IRR;IRRIGATION;2;IRRIGATION;CONT;-67.48929149229305;0.00013391769678162366;1;EST;Contrôlé Niveau 1;Correcte;;2105;;21050440;;;;;;prelevements.csv
2023;OPR0000639976;Rivière Falaise (haut);972;97203;BASSE-POINTE;160000;IND;INDUSTRIE et ACTIVITES ECONOMIQUES (hors irrigation, hors énergie);3;AGRICULTURE-ELEVAGE (hors irrigation);CONT;-67.48929153466013;0.00013405383512941026;1;EST;Contrôlé Niveau 1;Correcte;;2104;;21040200;;;;;;prelevements.csv
2023;OPR0000276726;Montagne Pelée 2;972;97201;AJOUPA-BOUILLON;137525;AEP;EAU POTABLE;5;AEP;SOUT;-61.118605348598635;14.815980150865826;5;MES;Contrôlé Niveau 1;Correcte;1168ZZ0051;;;;;972AC05;Andésites de l'édifice initial du Mont Conil;;;prelevements.csv
2023;OPR0000276716;Calvaire;972;97212;GROS-MORNE;135998;AEP;EAU POTABLE;5;AEP;CONT;-61.024570542369574;14.708455418650365;5;MES;Contrôlé Niveau 1;Correcte;;2221;;22211630;;;;;;prelevements.csv
2023;OPR0000276721;Essente;972;97225;SAINT-PIERRE;134515;AEP;EAU POTABLE;5;AEP;SOUT;-61.17749932058234;14.771613979598781;5;MES;Contrôlé Niveau 1;Correcte;1168ZZ0050;;;;;972AF01;Formations des andésites;;;prelevements.csv
2023;OPR0000276805;Captage sur rivière Roxelane;972;97225;SAINT-PIERRE;127774;IND;INDUSTRIE et ACTIVITES ECONOMIQUES (hors irrigation, hors énergie);4A;Agro-alimentaire;CONT;-67.48929182266461;0.0001331508699689155;1;MES;Non qualifié;Correcte;;2328;;23280480;;;;;;prelevements.csv
2023;OPR0000276727;Piton Gelé;972;97218;MORNE-ROUGE;118008;AEP;EAU POTABLE;5;AEP;SOUT;-61.12185325461485;14.769544323206384;5;MES;Contrôlé Niveau 1;Correcte;1173ZZ0065;;;;;972AF07;Hyaloclastites du Morne Jacob;;;prelevements.csv
