annee_reference;indicator_id;label;value;unit;source;calculation
2023;RES_015;RES_015;60781832;;BNPE;Somme détail prelevements.csv
2023;RES_014;RES_014;44946211;;BNPE;Somme Code usage BNPE=AEP
2023;RES_016;RES_016;13947721;;BNPE;Somme Code usage BNPE=IRR
2023;RES_017;RES_017;1887900;;BNPE;Somme Code usage BNPE=IND
2023;RES_001;RES_001;73.94678561185849;;BNPE;AEP / total ×100
2023;RES_002;RES_002;22.94718757407641;;BNPE;IRR / total ×100
2023;RES_003;RES_003;3.1060268140650975;;BNPE;IND / total ×100
2023;RES_004;RES_004;94.89692245693413;;BNPE;AEP CONT / AEP ×100
2023;RES_005;RES_005;5.103077543065866;;BNPE;AEP SOUT / AEP ×100
2023;RES_006;RES_006;57.88136846507484;;BNPE;AEP ouvrages Lézarde + Blanche / AEP ×100
2023;RES_007;RES_007;29;;BNPE;Nombre d'ouvrages AEP présents dans BNPE
2023;RES_008;RES_008;13;;BNPE;Nombre d'ouvrages AEP CONT présents dans BNPE
2023;RES_009;RES_009;16;;BNPE;Nombre d'ouvrages AEP SOUT présents dans BNPE
