annee_population;niveau_geo;code_geo;territoire;population_municipale;date_publication;date_entree_vigueur;source_url;source_type
2019;DEP;972;Martinique;364508;2021-12-29;2022-01-01;https://www.insee.fr/fr/statistiques/6012596;INSEE_RECENSEMENT
2019;EPCI;249720061;CACEM;152102;2021-12-29;2022-01-01;https://www.insee.fr/fr/statistiques/6012596;INSEE_RECENSEMENT
2019;EPCI;249720053;CAESM;114824;2021-12-29;2022-01-01;https://www.insee.fr/fr/statistiques/6012596;INSEE_RECENSEMENT
2019;EPCI;200041788;CAP_NORD;97582;2021-12-29;2022-01-01;https://www.insee.fr/fr/statistiques/6012596;INSEE_RECENSEMENT
2020;DEP;972;Martinique;361225;2022-12-29;2023-01-01;https://www.insee.fr/fr/statistiques/6681780;INSEE_RECENSEMENT
2020;EPCI;249720061;CACEM;150518;2022-12-29;2023-01-01;https://www.insee.fr/fr/statistiques/6681780;INSEE_RECENSEMENT
2020;EPCI;249720053;CAESM;114520;2022-12-29;2023-01-01;https://www.insee.fr/fr/statistiques/6681780;INSEE_RECENSEMENT
2020;EPCI;200041788;CAP_NORD;96187;2022-12-29;2023-01-01;https://www.insee.fr/fr/statistiques/6681780;INSEE_RECENSEMENT
2021;DEP;972;Martinique;360749;2023-12-28;2024-01-01;https://www.insee.fr/fr/statistiques/7739431;INSEE_RECENSEMENT
2021;EPCI;249720061;CACEM;150038;2023-12-28;2024-01-01;https://www.insee.fr/fr/statistiques/7739431;INSEE_RECENSEMENT
2021;EPCI;249720053;CAESM;115068;2023-12-28;2024-01-01;https://www.insee.fr/fr/statistiques/7739431;INSEE_RECENSEMENT
2021;EPCI;200041788;CAP_NORD;95643;2023-12-28;2024-01-01;https://www.insee.fr/fr/statistiques/7739431;INSEE_RECENSEMENT
2022;DEP;972;Martinique;361019;2024-12-19;2025-01-01;https://www.insee.fr/fr/statistiques/8312319;INSEE_RECENSEMENT
2022;EPCI;249720061;CACEM;150323;2024-12-19;2025-01-01;https://www.insee.fr/fr/statistiques/8312319;INSEE_RECENSEMENT
2022;EPCI;249720053;CAESM;115038;2024-12-19;2025-01-01;https://www.insee.fr/fr/statistiques/8312319;INSEE_RECENSEMENT
2022;EPCI;200041788;CAP_NORD;95658;2024-12-19;2025-01-01;https://www.insee.fr/fr/statistiques/8312319;INSEE_RECENSEMENT
2023;DEP;972;Martinique;360630;2025-12-18;2026-01-01;https://www.insee.fr/fr/statistiques/8684112;INSEE_RECENSEMENT
2023;EPCI;249720061;CACEM;150642;2025-12-18;2026-01-01;https://www.insee.fr/fr/statistiques/8684112;INSEE_RECENSEMENT
2023;EPCI;249720053;CAESM;114903;2025-12-18;2026-01-01;https://www.insee.fr/fr/statistiques/8684112;INSEE_RECENSEMENT
2023;EPCI;200041788;CAP_NORD;95085;2025-12-18;2026-01-01;https://www.insee.fr/fr/statistiques/8684112;INSEE_RECENSEMENT
