annee_indicateur;territoire;niveau_geo;code_geo;population_utilisee;millesime_population;statut_resolution;source_url
2019;Martinique;DEP;972;364508;2019;OFFICIEL_MILLESIME_N;https://www.insee.fr/fr/statistiques/6012596
2019;CACEM;EPCI;249720061;152102;2019;OFFICIEL_MILLESIME_N;https://www.insee.fr/fr/statistiques/6012596
2019;CAESM;EPCI;249720053;114824;2019;OFFICIEL_MILLESIME_N;https://www.insee.fr/fr/statistiques/6012596
2019;CAP_NORD;EPCI;200041788;97582;2019;OFFICIEL_MILLESIME_N;https://www.insee.fr/fr/statistiques/6012596
2020;Martinique;DEP;972;361225;2020;OFFICIEL_MILLESIME_N;https://www.insee.fr/fr/statistiques/6681780
2020;CACEM;EPCI;249720061;150518;2020;OFFICIEL_MILLESIME_N;https://www.insee.fr/fr/statistiques/6681780
2020;CAESM;EPCI;249720053;114520;2020;OFFICIEL_MILLESIME_N;https://www.insee.fr/fr/statistiques/6681780
2020;CAP_NORD;EPCI;200041788;96187;2020;OFFICIEL_MILLESIME_N;https://www.insee.fr/fr/statistiques/6681780
2021;Martinique;DEP;972;360749;2021;OFFICIEL_MILLESIME_N;https://www.insee.fr/fr/statistiques/7739431
2021;CACEM;EPCI;249720061;150038;2021;OFFICIEL_MILLESIME_N;https://www.insee.fr/fr/statistiques/7739431
2021;CAESM;EPCI;249720053;115068;2021;OFFICIEL_MILLESIME_N;https://www.insee.fr/fr/statistiques/7739431
2021;CAP_NORD;EPCI;200041788;95643;2021;OFFICIEL_MILLESIME_N;https://www.insee.fr/fr/statistiques/7739431
2022;Martinique;DEP;972;361019;2022;OFFICIEL_MILLESIME_N;https://www.insee.fr/fr/statistiques/8312319
2022;CACEM;EPCI;249720061;150323;2022;OFFICIEL_MILLESIME_N;https://www.insee.fr/fr/statistiques/8312319
2022;CAESM;EPCI;249720053;115038;2022;OFFICIEL_MILLESIME_N;https://www.insee.fr/fr/statistiques/8312319
2022;CAP_NORD;EPCI;200041788;95658;2022;OFFICIEL_MILLESIME_N;https://www.insee.fr/fr/statistiques/8312319
2023;Martinique;DEP;972;360630;2023;OFFICIEL_MILLESIME_N;https://www.insee.fr/fr/statistiques/8684112
2023;CACEM;EPCI;249720061;150642;2023;OFFICIEL_MILLESIME_N;https://www.insee.fr/fr/statistiques/8684112
2023;CAESM;EPCI;249720053;114903;2023;OFFICIEL_MILLESIME_N;https://www.insee.fr/fr/statistiques/8684112
2023;CAP_NORD;EPCI;200041788;95085;2023;OFFICIEL_MILLESIME_N;https://www.insee.fr/fr/statistiques/8684112
2024;Martinique;DEP;972;360630;2023;DERNIERE_OFFICIELLE_DISPONIBLE;https://www.insee.fr/fr/statistiques/8684112
2024;CACEM;EPCI;249720061;150642;2023;DERNIERE_OFFICIELLE_DISPONIBLE;https://www.insee.fr/fr/statistiques/8684112
2024;CAESM;EPCI;249720053;114903;2023;DERNIERE_OFFICIELLE_DISPONIBLE;https://www.insee.fr/fr/statistiques/8684112
2024;CAP_NORD;EPCI;200041788;95085;2023;DERNIERE_OFFICIELLE_DISPONIBLE;https://www.insee.fr/fr/statistiques/8684112
