annee_reference;territoire;domain;nombre_indicateurs;statut;sources
2023;CACEM;EAU_POTABLE;7;COUVERT;Bilan ODYSSI 2023.pdf
2023;CACEM;ASSAINISSEMENT_COLLECTIF;4;COUVERT;Bilan ODYSSI 2023.pdf
2023;CACEM;ANC;7;COUVERT;Bilan ODYSSI 2023.pdf
2023;CAESM;EAU_POTABLE;5;COUVERT;RAD_Eau_Potable_Ex-SICSM_2023.pdf
2023;CAESM;ASSAINISSEMENT_COLLECTIF;6;COUVERT;RAD_Assainissement_Ex-SICSM_2023.pdf
2023;CAESM;ANC;7;COUVERT;RPQS SPANC 2023.pdf
2023;CAP_NORD;EAU_POTABLE;10;PARTIEL_PERIMETRE_A_CONFIRMER;RAD_Eau_Potable_Ex-SICSM_2023.pdf | RAD_Eau_potable_CAP_NORD_2023.pdf
2023;CAP_NORD;ASSAINISSEMENT_COLLECTIF;5;COUVERT;RPQS Assainissement collectif 2023.pdf
2023;CAP_NORD;ANC;3;COUVERT;RPQS SPANC 2023(1).pdf
2024;CACEM;EAU_POTABLE;0;MANQUANT;
2024;CACEM;ASSAINISSEMENT_COLLECTIF;0;MANQUANT;
2024;CACEM;ANC;0;MANQUANT;
2024;CAESM;EAU_POTABLE;5;COUVERT;RAD_Eau_Potable_Ex-SICSM_2024_V3.pdf
2024;CAESM;ASSAINISSEMENT_COLLECTIF;6;COUVERT;RAD_Assainissement_Ex-SICSM_2024_V2.pdf
2024;CAESM;ANC;0;MANQUANT;
2024;CAP_NORD;EAU_POTABLE;11;PARTIEL_PERIMETRE_A_CONFIRMER;RAD_Eau_Potable_Ex-SICSM_2024_V3.pdf | RAD_Eau_potable_CAP_NORD_2024.pdf
2024;CAP_NORD;ASSAINISSEMENT_COLLECTIF;5;COUVERT;CC-09-2025-235 Approbation RPQS Assainissement collectif 2024.pdf
2024;CAP_NORD;ANC;3;COUVERT;CC-09-2025-236 Approbation RPQS Assainissement non collectif 2024.pdf
