annee_reference;indicator_id;domain;territoire;value;unit;source_primary;source_detail;source_file;source_page;coverage_status;quality_status;record_role;population_millesime;note
2024;POP_MUNICIPALE;DEMOGRAPHIE;Martinique;360630;habitants;INSEE;DERNIERE_OFFICIELLE_DISPONIBLE;fact_population_resolue_2019_2024.csv;;COMPLETE;POPULATION_LAG;DIAGNOSTIC;2023;Population municipale.
2024;POP_MUNICIPALE;DEMOGRAPHIE;CACEM;150642;habitants;INSEE;DERNIERE_OFFICIELLE_DISPONIBLE;fact_population_resolue_2019_2024.csv;;COMPLETE;POPULATION_LAG;DIAGNOSTIC;2023;Population municipale.
2024;POP_MUNICIPALE;DEMOGRAPHIE;CAESM;114903;habitants;INSEE;DERNIERE_OFFICIELLE_DISPONIBLE;fact_population_resolue_2019_2024.csv;;COMPLETE;POPULATION_LAG;DIAGNOSTIC;2023;Population municipale.
2024;POP_MUNICIPALE;DEMOGRAPHIE;CAP_NORD;95085;habitants;INSEE;DERNIERE_OFFICIELLE_DISPONIBLE;fact_population_resolue_2019_2024.csv;;COMPLETE;POPULATION_LAG;DIAGNOSTIC;2023;Population municipale.
2024;AC_POPULATION_DESSERVIE;ASSAINISSEMENT_COLLECTIF;CAP_NORD;31068;habitants;RAD_RPQS;CAPNORD_AC_RPQS;CC-09-2025-235 Approbation RPQS Assainissement collectif 2024.pdf;17;COMPLETE;METHOD_CHANGE_SUSPECTED;DIAGNOSTIC;;Rupture importante avec 2023 (44 409), vérifier la méthode de calcul.
2024;D301.0_LOCAL;ANC;CAP_NORD;95658;habitants;RAD_RPQS;CAPNORD_SPANC;CC-09-2025-236 Approbation RPQS Assainissement non collectif 2024.pdf;7;COMPLETE;METHODOLOGY_TO_REVIEW;DIAGNOSTIC;;La valeur correspond à une population INSEE ancienne du territoire et semble surestimer la population réellement en ANC.
2024;EP_VOLUME_PRODUIT;EAU_POTABLE;CAP_NORD_CONTRAT_SME;5267593.0;m³/an;RAD_RPQS;CAPNORD_EP_CONTRACT;RAD_Eau_potable_CAP_NORD_2024.pdf;7;COMPLETE;TERRITORY_MAPPING_TO_CONFIRM;DIAGNOSTIC;;"Périmètre exact du contrat SME à confirmer avant toute agrégation EPCI ; le rapport est conservé au niveau contractuel."
2024;EP_VOLUME_MIS_DISTRIBUTION;EAU_POTABLE;CAP_NORD_CONTRAT_SME;7728127.0;m³/an;RAD_RPQS;CAPNORD_EP_CONTRACT;RAD_Eau_potable_CAP_NORD_2024.pdf;7;COMPLETE;TERRITORY_MAPPING_TO_CONFIRM;DIAGNOSTIC;;"Périmètre exact du contrat SME à confirmer avant toute agrégation EPCI ; le rapport est conservé au niveau contractuel."
2024;EP_VOLUME_FACTURE;EAU_POTABLE;CAP_NORD_CONTRAT_SME;3641736.0;m³/an;RAD_RPQS;CAPNORD_EP_CONTRACT;RAD_Eau_potable_CAP_NORD_2024.pdf;7;COMPLETE;TERRITORY_MAPPING_TO_CONFIRM;DIAGNOSTIC;;"Périmètre exact du contrat SME à confirmer avant toute agrégation EPCI ; le rapport est conservé au niveau contractuel."
2024;EP_RESEAU_KM;EAU_POTABLE;CAP_NORD_CONTRAT_SME;977.68;km;RAD_RPQS;CAPNORD_EP_CONTRACT;RAD_Eau_potable_CAP_NORD_2024.pdf;7;COMPLETE;TERRITORY_MAPPING_TO_CONFIRM;DIAGNOSTIC;;"Périmètre exact du contrat SME à confirmer avant toute agrégation EPCI ; le rapport est conservé au niveau contractuel."
2024;P104.3_LOCAL;EAU_POTABLE;CAP_NORD_CONTRAT_SME;55.0;%;RAD_RPQS;CAPNORD_EP_CONTRACT;RAD_Eau_potable_CAP_NORD_2024.pdf;7;COMPLETE;TERRITORY_MAPPING_TO_CONFIRM;DIAGNOSTIC;;"Périmètre exact du contrat SME à confirmer avant toute agrégation EPCI ; le rapport est conservé au niveau contractuel."
2024;EP_ABONNES;EAU_POTABLE;CAP_NORD_CONTRAT_SME;38457.0;abonnés;RAD_RPQS;CAPNORD_EP_CONTRACT;RAD_Eau_potable_CAP_NORD_2024.pdf;7;COMPLETE;TERRITORY_MAPPING_TO_CONFIRM;DIAGNOSTIC;;"Périmètre exact du contrat SME à confirmer avant toute agrégation EPCI ; le rapport est conservé au niveau contractuel."
2024;P101.1_LOCAL;EAU_POTABLE;CAP_NORD_CONTRAT_SME;98.4;%;RAD_RPQS;CAPNORD_EP_CONTRACT;RAD_Eau_potable_CAP_NORD_2024.pdf;7;COMPLETE;TERRITORY_MAPPING_TO_CONFIRM;DIAGNOSTIC;;"Périmètre exact du contrat SME à confirmer avant toute agrégation EPCI ; le rapport est conservé au niveau contractuel."
2024;P102.1_LOCAL;EAU_POTABLE;CAP_NORD_CONTRAT_SME;100.0;%;RAD_RPQS;CAPNORD_EP_CONTRACT;RAD_Eau_potable_CAP_NORD_2024.pdf;7;COMPLETE;TERRITORY_MAPPING_TO_CONFIRM;DIAGNOSTIC;;"Périmètre exact du contrat SME à confirmer avant toute agrégation EPCI ; le rapport est conservé au niveau contractuel."
