annee_reference;indicator_id;domain;territoire;perimeter_id;value;unit;source_primary;source_detail;source_file;source_page;coverage_status;quality_status;record_role;population_millesime;definition;note
2024;ANC_INSTALLATIONS_ESTIMEES;ANC;CAP_NORD;CAP_NORD_EPCI;30182;installations;RAD_RPQS;CAPNORD_SPANC;CC-09-2025-236 Approbation RPQS Assainissement non collectif 2024.pdf;7;COMPLETE;OK;PRODUCTION;;;
2024;D301.0_LOCAL;ANC;CAP_NORD;CAP_NORD_EPCI;95658;habitants;RAD_RPQS;CAPNORD_SPANC;CC-09-2025-236 Approbation RPQS Assainissement non collectif 2024.pdf;7;COMPLETE;METHODOLOGY_TO_REVIEW;DIAGNOSTIC;;;La valeur correspond à une population INSEE ancienne du territoire et semble surestimer la population réellement en ANC.
2024;P301.3;ANC;CAP_NORD;CAP_NORD_EPCI;27.15871491087629;%;RAD_RPQS;CAPNORD_SPANC;CC-09-2025-236 Approbation RPQS Assainissement non collectif 2024.pdf;14;COMPLETE;OK;PRODUCTION;;;
2024;SOURCE_COVERAGE;ANC;CAESM;CAESM;;;META;Couverture documentaire;coverage_matrix_v2.csv;;NON_PRODUIT_DECLARE;SOURCE_NOT_PRODUCED;AUDIT;;État de disponibilité de la source locale.;Aucun RPQS ANC 2024 produit selon information ODE fournie le 24/09/2026.
2024;AC_ABONNES;ASSAINISSEMENT_COLLECTIF;CAESM;CAESM_EPCI;24342.0;abonnés;RAD_RPQS;EX_SICSM_AC;RAD_Assainissement_Ex-SICSM_2024_V2.pdf;7;COMPLETE;OK;PRODUCTION;;;
2024;AC_ABONNES;ASSAINISSEMENT_COLLECTIF;CAP_NORD;CAP_NORD_EPCI;18170;abonnés;RAD_RPQS;CAPNORD_AC_RPQS;CC-09-2025-235 Approbation RPQS Assainissement collectif 2024.pdf;17;COMPLETE;OK;PRODUCTION;;;
2024;AC_ABONNES;ASSAINISSEMENT_COLLECTIF;ROBERT_TRINITE;ROBERT_TRINITE_EXSICSM;6853.0;abonnés;RAD_RPQS;EX_SICSM_AC;RAD_Assainissement_Ex-SICSM_2024_V2.pdf;8;COMPLETE;OK;PRODUCTION;;;Sous-périmètre de CAP Nord.
2024;AC_BOUES_TMS;ASSAINISSEMENT_COLLECTIF;CAESM;CAESM_EPCI;327.53;tMS/an;RAD_RPQS;EX_SICSM_AC;RAD_Assainissement_Ex-SICSM_2024_V2.pdf;7;COMPLETE;OK;PRODUCTION;;;
2024;AC_BOUES_TMS;ASSAINISSEMENT_COLLECTIF;CAP_NORD;CAP_NORD_EPCI;287.1;tMS/an;RAD_RPQS;CAPNORD_AC_RPQS;CC-09-2025-235 Approbation RPQS Assainissement collectif 2024.pdf;16;COMPLETE;OK;PRODUCTION;;;Somme Trinité-Robert + autres communes.
2024;AC_BOUES_TMS;ASSAINISSEMENT_COLLECTIF;ROBERT_TRINITE;ROBERT_TRINITE_EXSICSM;70.0;tMS/an;RAD_RPQS;EX_SICSM_AC;RAD_Assainissement_Ex-SICSM_2024_V2.pdf;8;COMPLETE;OK;PRODUCTION;;;Sous-périmètre de CAP Nord.
2024;AC_POPULATION_DESSERVIE;ASSAINISSEMENT_COLLECTIF;CAP_NORD;CAP_NORD_EPCI;31068;habitants;RAD_RPQS;CAPNORD_AC_RPQS;CC-09-2025-235 Approbation RPQS Assainissement collectif 2024.pdf;17;COMPLETE;METHOD_CHANGE_SUSPECTED;DIAGNOSTIC;;;Rupture importante avec 2023 (44 409), vérifier la méthode de calcul.
2024;AC_POSTES_REFOULEMENT;ASSAINISSEMENT_COLLECTIF;CAESM;CAESM_EPCI;123.0;ouvrages;RAD_RPQS;EX_SICSM_AC;RAD_Assainissement_Ex-SICSM_2024_V2.pdf;7;COMPLETE;OK;PRODUCTION;;;
2024;AC_POSTES_REFOULEMENT;ASSAINISSEMENT_COLLECTIF;ROBERT_TRINITE;ROBERT_TRINITE_EXSICSM;62.0;ouvrages;RAD_RPQS;EX_SICSM_AC;RAD_Assainissement_Ex-SICSM_2024_V2.pdf;8;COMPLETE;OK;PRODUCTION;;;Sous-périmètre de CAP Nord.
2024;AC_RESEAU_KM;ASSAINISSEMENT_COLLECTIF;CAESM;CAESM_EPCI;305.1;km;RAD_RPQS;EX_SICSM_AC;RAD_Assainissement_Ex-SICSM_2024_V2.pdf;7;COMPLETE;OK;PRODUCTION;;;
2024;AC_RESEAU_KM;ASSAINISSEMENT_COLLECTIF;CAP_NORD;CAP_NORD_EPCI;252.578;km;RAD_RPQS;CAPNORD_AC_RPQS;CC-09-2025-235 Approbation RPQS Assainissement collectif 2024.pdf;11;COMPLETE;OK;PRODUCTION;;;
2024;AC_RESEAU_KM;ASSAINISSEMENT_COLLECTIF;ROBERT_TRINITE;ROBERT_TRINITE_EXSICSM;99.5;km;RAD_RPQS;EX_SICSM_AC;RAD_Assainissement_Ex-SICSM_2024_V2.pdf;8;COMPLETE;OK;PRODUCTION;;;Sous-périmètre de CAP Nord.
2024;AC_STEU_NB;ASSAINISSEMENT_COLLECTIF;CAESM;CAESM_EPCI;33.0;stations;RAD_RPQS;EX_SICSM_AC;RAD_Assainissement_Ex-SICSM_2024_V2.pdf;7;COMPLETE;OK;PRODUCTION;;;
2024;AC_STEU_NB;ASSAINISSEMENT_COLLECTIF;ROBERT_TRINITE;ROBERT_TRINITE_EXSICSM;8.0;stations;RAD_RPQS;EX_SICSM_AC;RAD_Assainissement_Ex-SICSM_2024_V2.pdf;8;COMPLETE;OK;PRODUCTION;;;Sous-périmètre de CAP Nord.
2024;AC_VOLUME_ASSUJETTI;ASSAINISSEMENT_COLLECTIF;CAP_NORD;CAP_NORD_EPCI;1780874;m³/an;RAD_RPQS;CAPNORD_AC_RPQS;CC-09-2025-235 Approbation RPQS Assainissement collectif 2024.pdf;10;COMPLETE;OK;PRODUCTION;;;"Volume assujetti à la redevance ; ne pas confondre avec volume traité."
2024;AC_VOLUME_TRAITE;ASSAINISSEMENT_COLLECTIF;CAESM;CAESM_EPCI;3354252.0;m³/an;RAD_RPQS;EX_SICSM_AC;RAD_Assainissement_Ex-SICSM_2024_V2.pdf;7;COMPLETE;OK;PRODUCTION;;;
2024;AC_VOLUME_TRAITE;ASSAINISSEMENT_COLLECTIF;ROBERT_TRINITE;ROBERT_TRINITE_EXSICSM;745823.0;m³/an;RAD_RPQS;EX_SICSM_AC;RAD_Assainissement_Ex-SICSM_2024_V2.pdf;8;COMPLETE;OK;PRODUCTION;;;Sous-périmètre de CAP Nord.
2024;POP_MUNICIPALE;DEMOGRAPHIE;CACEM;CACEM;150642;habitants;INSEE;DERNIERE_OFFICIELLE_DISPONIBLE;fact_population_resolue_2019_2024.csv;;COMPLETE;POPULATION_LAG;DIAGNOSTIC;2023;Population municipale INSEE.;
2024;POP_MUNICIPALE;DEMOGRAPHIE;CAESM;CAESM;114903;habitants;INSEE;DERNIERE_OFFICIELLE_DISPONIBLE;fact_population_resolue_2019_2024.csv;;COMPLETE;POPULATION_LAG;DIAGNOSTIC;2023;Population municipale INSEE.;
2024;POP_MUNICIPALE;DEMOGRAPHIE;CAP_NORD;CAP_NORD;95085;habitants;INSEE;DERNIERE_OFFICIELLE_DISPONIBLE;fact_population_resolue_2019_2024.csv;;COMPLETE;POPULATION_LAG;DIAGNOSTIC;2023;Population municipale INSEE.;
2024;POP_MUNICIPALE;DEMOGRAPHIE;Martinique;Martinique;360630;habitants;INSEE;DERNIERE_OFFICIELLE_DISPONIBLE;fact_population_resolue_2019_2024.csv;;COMPLETE;POPULATION_LAG;DIAGNOSTIC;2023;Population municipale INSEE.;
2024;EP_ABONNES;EAU_POTABLE;CAESM;CAESM_EPCI;63269.0;abonnés;RAD_RPQS;EX_SICSM_EP;RAD_Eau_Potable_Ex-SICSM_2024_V3.pdf;22;COMPLETE;OK;PRODUCTION;;;
