annee_reference;indicator_id;domain;territoire;perimeter_id;value;unit;source_primary;source_detail;source_file;source_page;coverage_status;quality_status;record_role;population_millesime;definition;note
2022;ANC_001;ANC;Martinique;;54.20019444959961;%;CALCUL;ANC_002 / POP_001 ×100;;;COMPLETE;REVISED_SNAPSHOT;DIAGNOSTIC;2022;;Part de population relevant de l’ANC d’après le snapshot SISPEA courant.
2022;ANC_002;ANC;Martinique;;195673.0;hab;SISPEA;D301.0;SISPEA_extraction_2022_ANC.xls;;COMPLETE;REVISED_SNAPSHOT;DIAGNOSTIC;;;"Population ANC du snapshot courant ; à confronter aux SPANC/ODE."
2022;ANC_003;ANC;Martinique;;56255.0;installations;SISPEA;DC.306;fact_sispea_service_2022.csv;;PARTIAL;REVISED_SNAPSHOT;DIAGNOSTIC;;;"Somme des services renseignés ; contrôle SPANC requis."
2022;ANC_010;ANC;Martinique;;1009.0;contrôles/an;SISPEA;DC.332 + DC.333;fact_sispea_service_2022.csv;;COMPLETE;OK;PRODUCTION;;;Contrôles du neuf = conception + exécution, règle à conserver versionnée.
2022;ANC_011;ANC;Martinique;;388.0;contrôles/an;SISPEA;VP.334;fact_sispea_service_2022.csv;;PARTIAL;COVERAGE_PARTIAL;DIAGNOSTIC;;;2/3 services renseignés.
2022;ANC_013;ANC;Martinique;;11.1;%;SISPEA;P301.3;SISPEA_extraction_2022_ANC.xls;;PARTIAL;COVERAGE_PARTIAL;DIAGNOSTIC;;;2/3 services utilisés.
2022;AC_001;ASSAINISSEMENT_COLLECTIF;Martinique;;902.04;km;SISPEA;VP.077;SISPEA_extraction_2022_AC.xls;;COMPLETE;OK;PRODUCTION;;;"VP.077; 4 donnée(s) utilisée(s)."
2022;AC_003;ASSAINISSEMENT_COLLECTIF;Martinique;;103;nb;PORTAIL_ERU;Nature=Urbain et capacité>0;export-as-telechargement(2).csv;;COMPLETE;OK;PRODUCTION;;;Inventaire public du snapshot courant.
2022;AC_004;ASSAINISSEMENT_COLLECTIF;Martinique;;69;nb;PORTAIL_ERU;Nature=Urbain et capacité>200 EH;export-as-telechargement(2).csv;;COMPLETE;REVISED_SNAPSHOT;PRODUCTION;;;Le snapshot courant diffère du rapport 2022 historique.
2022;AC_005;ASSAINISSEMENT_COLLECTIF;Martinique;;345361.0;EH;PORTAIL_ERU;Somme capacité nominale >200 EH;export-as-telechargement(2).csv;;COMPLETE;REVISED_SNAPSHOT;PRODUCTION;;;Le snapshot courant diffère du rapport 2022 historique.
2022;AC_012;ASSAINISSEMENT_COLLECTIF;Martinique;;1620.96;tMS;SISPEA;VP.208;SISPEA_extraction_2022_AC.xls;;COMPLETE;OK;PRODUCTION;;;"VP.208; 4 donnée(s) utilisée(s)."
2022;AC_014;ASSAINISSEMENT_COLLECTIF;Martinique;;81139.0;abonnés;SISPEA;VP.056;SISPEA_extraction_2022_AC.xls;;COMPLETE;REVISED_SNAPSHOT;PRODUCTION;;;"Snapshot SISPEA actuel ; historique susceptible d’avoir été révisé."
2022;AC_016;ASSAINISSEMENT_COLLECTIF;Martinique;;42.68990771626698;%;CALCUL;AC_014 / EP_005 ×100;;;COMPLETE;REVISED_SNAPSHOT;DIAGNOSTIC;;;"Part d'abonnés AC parmi les abonnés AEP ; ne pas l'intituler part de population raccordée."
2022;EP_001;EAU_POTABLE;Martinique;;159.683820382542;L/j/hab;RAD_RPQS + INSEE;Volume facturé AEP / population municipale / 365;manual_inputs/manual_external_facts_2022.csv;;COMPLETE;VALIDATION_OK;VALIDATION;2022;;"Validation de la formule ; automatisation RAD/RPQS encore à développer."
2022;EP_005;EAU_POTABLE;Martinique;;190066.0;abonnés;SISPEA;VP.056;SISPEA_extraction_2022_AEP.ods;;COMPLETE;OK;PRODUCTION;;;"VP.056; 4 donnée(s) utilisée(s)."
2022;EP_017;EAU_POTABLE;Martinique;;3868.0;km;SISPEA;VP.077;SISPEA_extraction_2022_AEP.ods;;COMPLETE;OK;PRODUCTION;;;"VP.077; 4 donnée(s) utilisée(s)."
2022;EP_019;EAU_POTABLE;CACEM;;64.5;%;SISPEA;P104.3;SISPEA_extraction_2022_AEP.ods;;COMPLETE;OK;PRODUCTION;;;Service SISPEA comparable au périmètre du rapport : 196862.
2022;EP_019;EAU_POTABLE;CAESM;;81.8;%;SISPEA;P104.3;SISPEA_extraction_2022_AEP.ods;;COMPLETE;OK;PRODUCTION;;;Service SISPEA comparable au périmètre du rapport : 196847.
2022;EP_019;EAU_POTABLE;CAP_NORD;;52.4;%;SISPEA;P104.3;SISPEA_extraction_2022_AEP.ods;;COMPLETE;OK;PRODUCTION;;;Service SISPEA comparable au périmètre du rapport : 299714.
2022;EP_020;EAU_POTABLE;CACEM;;31.9;m3/km/j;SISPEA;P106.3;SISPEA_extraction_2022_AEP.ods;;COMPLETE;OK;PRODUCTION;;;Service SISPEA comparable au périmètre du rapport : 196862.
2022;EP_020;EAU_POTABLE;CAESM;;6.1;m3/km/j;SISPEA;P106.3;SISPEA_extraction_2022_AEP.ods;;COMPLETE;OK;PRODUCTION;;;Service SISPEA comparable au périmètre du rapport : 196847.
2022;EP_020;EAU_POTABLE;CAP_NORD;;10.2;m3/km/j;SISPEA;P106.3;SISPEA_extraction_2022_AEP.ods;;COMPLETE;OK;PRODUCTION;;;Service SISPEA comparable au périmètre du rapport : 299714.
2022;EP_021;EAU_POTABLE;CACEM;;0.19;%;SISPEA;P107.2;SISPEA_extraction_2022_AEP.ods;;COMPLETE;OK;PRODUCTION;;;Service SISPEA comparable au périmètre du rapport : 196862.
2022;EP_021;EAU_POTABLE;CAESM;;0.18;%;SISPEA;P107.2;SISPEA_extraction_2022_AEP.ods;;COMPLETE;OK;PRODUCTION;;;Service SISPEA comparable au périmètre du rapport : 196847.
2022;EP_021;EAU_POTABLE;CAP_NORD;;0.28;%;SISPEA;P107.2;SISPEA_extraction_2022_AEP.ods;;COMPLETE;OK;PRODUCTION;;;Service SISPEA comparable au périmètre du rapport : 299714.
2022;POP_001;POPULATION;CACEM;;150323;hab;INSEE;OFFICIEL_MILLESIME_N;fact_population_resolue_2019_2024.csv;;COMPLETE;OK;PRODUCTION;2022;;
2022;POP_001;POPULATION;CAESM;;115038;hab;INSEE;OFFICIEL_MILLESIME_N;fact_population_resolue_2019_2024.csv;;COMPLETE;OK;PRODUCTION;2022;;
2022;POP_001;POPULATION;CAP_NORD;;95658;hab;INSEE;OFFICIEL_MILLESIME_N;fact_population_resolue_2019_2024.csv;;COMPLETE;OK;PRODUCTION;2022;;
