year;indicator_id;perimeter_id;value;unit;definition;source_type;source_file_or_url;source_page;quality_status;record_role;note
2023;EP_ABONNES;CAP_NORD_DSP_2020_2024;38372;abonnés;Abonnés du contrat CAP Nord incluant les secteurs Robert CN et Trinité CN.;RAD;RAD_Eau_potable_CAP_NORD_2023.pdf;129;OK;PRODUCTION;Tableau détaillé par commune/secteur.
2024;EP_ABONNES;CAP_NORD_DSP_2020_2024;37332;abonnés;Abonnés du contrat CAP Nord incluant les secteurs Robert CN et Trinité CN.;RAD;RAD_Eau_potable_CAP_NORD_2024.pdf;151;OK;PRODUCTION;La valeur détaillée contredit le chiffre-clé 38 457 : le détail et le RPQS officiel convergent vers 37 332.
2023;EP_ABONNES;ROBERT_TRINITE_EXSICSM;14266;abonnés;Abonnés des secteurs Robert-Trinité relevant du contrat Ex-SICSM.;RAD;RAD_Eau_Potable_Ex-SICSM_2023.pdf;44;OK;PRODUCTION;
2024;EP_ABONNES;ROBERT_TRINITE_EXSICSM;14414;abonnés;Abonnés des secteurs Robert-Trinité relevant du contrat Ex-SICSM.;RAD;RAD_Eau_Potable_Ex-SICSM_2024_V3.pdf;79;OK;PRODUCTION;
2023;EP_ABONNES;CAP_NORD_EPCI;52638;abonnés;Total EPCI = contrat CAP Nord + secteurs Robert-Trinité Ex-SICSM.;RPQS;https://www.services.eaufrance.fr/sispea/referential/download-rpqs.action?collectivityId=236434&rpqsId=826773;7;OK;PRODUCTION;38372 + 14266 = 52638.
2024;EP_ABONNES;CAP_NORD_EPCI;51746;abonnés;Total EPCI = contrat CAP Nord + secteurs Robert-Trinité Ex-SICSM.;RPQS;https://www.services.eaufrance.fr/sispea/referential/download-rpqs.action?collectivityId=236434&rpqsId=1022913;6;OK;PRODUCTION;37332 + 14414 = 51746.
2023;EP_VOLUME_FACTURE_CLIENTELE;CAP_NORD_DSP_2020_2024;3824192;m³/an;Somme des volumes facturés/vendus du tableau clientèle du RAD.;RAD;RAD_Eau_potable_CAP_NORD_2023.pdf;130;OK;PRODUCTION;Le RPQS donne 3 824 167 m3, écart de 25 m3.
2024;EP_VOLUME_FACTURE_CLIENTELE;CAP_NORD_DSP_2020_2024;3641736;m³/an;Somme des volumes facturés du tableau clientèle du RAD.;RAD;RAD_Eau_potable_CAP_NORD_2024.pdf;152;OK;PRODUCTION;À distinguer du volume comptabilisé hydraulique 4 008 632 m3.
2023;EP_VOLUME_FACTURE_HYDRAULIQUE;CAP_NORD_DSP_2020_2024;3670323;m³/an;Volume facturé E' utilisé dans le bilan hydraulique/rendement.;RAD;RAD_Eau_potable_CAP_NORD_2023.pdf;64;OK;PRODUCTION;
2024;EP_VOLUME_FACTURE_HYDRAULIQUE;CAP_NORD_DSP_2020_2024;3641739;m³/an;Volume facturé E' utilisé dans le bilan hydraulique/rendement.;RAD;RAD_Eau_potable_CAP_NORD_2024.pdf;46;OK;PRODUCTION;
2023;EP_VOLUME_COMPTABILISE;CAP_NORD_DSP_2020_2024;3728683;m³/an;Volume comptabilisé E = facturé + dégrevé/gratuit.;RAD;RAD_Eau_potable_CAP_NORD_2023.pdf;64;OK;PRODUCTION;
2024;EP_VOLUME_COMPTABILISE;CAP_NORD_DSP_2020_2024;4008632;m³/an;Volume comptabilisé E = facturé + dégrevé/gratuit.;RAD;RAD_Eau_potable_CAP_NORD_2024.pdf;47;OK;PRODUCTION;
2023;P104.3;CAP_NORD_DSP_2020_2024;51.53;%;Rendement du réseau du contrat CAP Nord publié dans le RAD 2023.;RAD;RAD_Eau_potable_CAP_NORD_2023.pdf;66;REVISED_LATER;AUDIT;Le RAD 2024 révise la valeur historique 2023 à 53,17 %.
2023;P104.3_REVISED;CAP_NORD_DSP_2020_2024;53.17;%;Rendement 2023 révisé tel que repris dans le RAD 2024.;RAD;RAD_Eau_potable_CAP_NORD_2024.pdf;48;REVISED_BY_LATER_SOURCE;PRODUCTION;Ne pas écraser la publication initiale.
2024;P104.3;CAP_NORD_DSP_2020_2024;54.95;%;Rendement du réseau du contrat CAP Nord.;RAD;RAD_Eau_potable_CAP_NORD_2024.pdf;48;OK;PRODUCTION;
2023;P106.3;CAP_NORD_DSP_2020_2024;10.97;m³/km/j;Indice linéaire de pertes du contrat CAP Nord.;RAD;RAD_Eau_potable_CAP_NORD_2023.pdf;65;OK;PRODUCTION;
2024;P106.3;CAP_NORD_DSP_2020_2024;9.87;m³/km/j;Indice linéaire de pertes du contrat CAP Nord.;RAD;RAD_Eau_potable_CAP_NORD_2024.pdf;47;OK;PRODUCTION;
2023;P104.3_CONTRACT;EX_SICSM_DSP_2015_2027;80.0;%;P104.3 calculé pour le périmètre entier Ex-SICSM.;RAD;RAD_Eau_Potable_Ex-SICSM_2023.pdf;105;OK;PRODUCTION;Le RAD indique que rendement/ILP ne sont pas ventilables entre CAESM et Robert-Trinité.
2024;P104.3_CONTRACT;EX_SICSM_DSP_2015_2027;80.4;%;P104.3 calculé pour le périmètre entier Ex-SICSM.;RAD;RAD_Eau_Potable_Ex-SICSM_2024_V3.pdf;128;OK;PRODUCTION;
2023;P106.3_CONTRACT;EX_SICSM_DSP_2015_2027;6.53;m³/km/j;ILP/pertes du périmètre entier Ex-SICSM.;RAD;RAD_Eau_Potable_Ex-SICSM_2023.pdf;105;OK;PRODUCTION;
2024;P106.3_CONTRACT;EX_SICSM_DSP_2015_2027;6.28;m³/km/j;ILP/pertes du périmètre entier Ex-SICSM.;RAD;RAD_Eau_Potable_Ex-SICSM_2024_V3.pdf;128;OK;PRODUCTION;
2023;P104.3_REPORTED_RT;ROBERT_TRINITE_EXSICSM;80.63;%;Valeur RPQS libellée Robert-Trinité / ex-SICSM.;RPQS;https://www.services.eaufrance.fr/sispea/referential/download-rpqs.action?collectivityId=236434&rpqsId=831713;34;PERIMETER_SCOPE_AMBIGUOUS;DIAGNOSTIC;Proche du rendement technique de l'ensemble Ex-SICSM, alors que le RAD dit l'indicateur non ventilable.
2024;P104.3_REPORTED_RT;ROBERT_TRINITE_EXSICSM;41.3;%;Valeur RPQS 2024 publiée dans un tableau récapitulatif.;RPQS;https://www.services.eaufrance.fr/sispea/referential/download-rpqs.action?collectivityId=236434&rpqsId=1022913;40;SOURCE_ERROR_SUSPECTED;AUDIT;Incompatible avec le RAD et une correction CAP Nord ultérieure à 81 %.
2024;P104.3_REPORTED_RT_CORRECTED;ROBERT_TRINITE_EXSICSM;81.0;%;Valeur figurant dans un document CAP Nord ultérieur.;CAP_NORD;https://politique.pappers.fr/commune/document/7bbc838df394e19132363f2e808df0e0;;REVISED_BY_LATER_SOURCE;DIAGNOSTIC;Cohérent avec le rendement technique Ex-SICSM 81,0 %, mais le RAD ne permet pas d'établir un P104.3 autonome RT.
