year;territory;domain;status;n_facts;note
2023;CACEM;EAU_POTABLE;COUVERT;7;
2023;CACEM;ASSAINISSEMENT_COLLECTIF;COUVERT;4;
2023;CACEM;ANC;COUVERT;7;
2023;CAESM;EAU_POTABLE;COUVERT;5;
2023;CAESM;ASSAINISSEMENT_COLLECTIF;COUVERT;6;
2023;CAESM;ANC;COUVERT;7;
2023;CAP_NORD;EAU_POTABLE;COUVERT;2;
2023;CAP_NORD;ASSAINISSEMENT_COLLECTIF;COUVERT;5;
2023;CAP_NORD;ANC;COUVERT;3;
2024;CACEM;EAU_POTABLE;NON_PRODUIT_DECLARE;0;Aucun bilan/RAD 2024 produit selon information ODE fournie le 24/09/2026.
2024;CACEM;ASSAINISSEMENT_COLLECTIF;NON_PRODUIT_DECLARE;0;Aucun bilan/RAD 2024 produit selon information ODE fournie le 24/09/2026.
2024;CACEM;ANC;NON_PRODUIT_DECLARE;0;Aucun bilan/RAD 2024 produit selon information ODE fournie le 24/09/2026.
2024;CAESM;EAU_POTABLE;COUVERT;5;
2024;CAESM;ASSAINISSEMENT_COLLECTIF;COUVERT;6;
2024;CAESM;ANC;NON_PRODUIT_DECLARE;0;Aucun RPQS ANC 2024 produit selon information ODE fournie le 24/09/2026.
2024;CAP_NORD;EAU_POTABLE;COUVERT;2;
2024;CAP_NORD;ASSAINISSEMENT_COLLECTIF;COUVERT;5;
2024;CAP_NORD;ANC;COUVERT;3;
