annee_reference;domain;indicator_id;territoire;perimeter_id;value;unit;source_family;authority;source_file;source_page;record_role;quality_status;coverage_status;definition;note
2023;EAU_POTABLE;EP_ABONNES;CACEM;CACEM_EPCI;77158;abonnés;ODYSSI_BILAN;CACEM / ODYSSI;Bilan ODYSSI 2023.pdf;22;PRODUCTION;OK;COMPLETE;;
2023;EAU_POTABLE;EP_VOLUME_FACTURE;CACEM;CACEM_EPCI;10947922;m³/an;ODYSSI_BILAN;CACEM / ODYSSI;Bilan ODYSSI 2023.pdf;33;PRODUCTION;OK;COMPLETE;;
2023;EAU_POTABLE;EP_VOLUME_PRODUIT;CACEM;CACEM_EPCI;15103494.0;m³/an;ODYSSI_BILAN;CACEM / ODYSSI;Bilan ODYSSI 2023.pdf;29;PRODUCTION;OK;COMPLETE;;
2023;EAU_POTABLE;EP_VOLUME_PRELEVE_LOCAL;CACEM;CACEM_EPCI;15400582.0;m³/an;ODYSSI_BILAN;CACEM / ODYSSI;Bilan ODYSSI 2023.pdf;29;DIAGNOSTIC;OK;COMPLETE;;BNPE reste source primaire des prélèvements.
2023;EAU_POTABLE;P104.3;CACEM;CACEM_EPCI;63.21;%;ODYSSI_BILAN;CACEM / ODYSSI;Bilan ODYSSI 2023.pdf;30;PRODUCTION;OK;COMPLETE;;
2023;EAU_POTABLE;P106.3;CACEM;CACEM_EPCI;19.8;m³/km/j;ODYSSI_BILAN;CACEM / ODYSSI;Bilan ODYSSI 2023.pdf;30;PRODUCTION;OK;COMPLETE;;
2023;EAU_POTABLE;EP_RESEAU_KM;CACEM;CACEM_EPCI;1038.0;km;ODYSSI_BILAN;CACEM / ODYSSI;Bilan ODYSSI 2023.pdf;27;PRODUCTION;OK;COMPLETE;;
2023;ASSAINISSEMENT_COLLECTIF;AC_ABONNES;CACEM;CACEM_EPCI;40058.0;abonnés;ODYSSI_BILAN;CACEM / ODYSSI;Bilan ODYSSI 2023.pdf;35;PRODUCTION;OK;COMPLETE;;
2023;ASSAINISSEMENT_COLLECTIF;AC_RESEAU_KM;CACEM;CACEM_EPCI;384.0;km;ODYSSI_BILAN;CACEM / ODYSSI;Bilan ODYSSI 2023.pdf;36;PRODUCTION;OK;COMPLETE;;
2023;ASSAINISSEMENT_COLLECTIF;AC_BOUES_TMS;CACEM;CACEM_EPCI;1070.42;tMS/an;ODYSSI_BILAN;CACEM / ODYSSI;Bilan ODYSSI 2023.pdf;40;PRODUCTION;OK;COMPLETE;;
2023;ASSAINISSEMENT_COLLECTIF;AC_VOLUME_FACTURE;CACEM;CACEM_EPCI;4945906;m³/an;ODYSSI_BILAN;CACEM / ODYSSI;Bilan ODYSSI 2023.pdf;41;PRODUCTION;OK;COMPLETE;;
2023;ANC;D301.0_LOCAL;CACEM;CACEM_EPCI;61094;habitants;ODYSSI_BILAN;CACEM / ODYSSI;Bilan ODYSSI 2023.pdf;60;PRODUCTION;OK;COMPLETE;;Estimation locale des habitants non desservis par un réseau de collecte.
2023;ANC;ANC_INSTALLATIONS_ESTIMEES;CACEM;CACEM_EPCI;28845;foyers/installations;ODYSSI_BILAN;CACEM / ODYSSI;Bilan ODYSSI 2023.pdf;60;PRODUCTION;OK;COMPLETE;;
2023;ANC;ANC_CONTROLES_TOTAL;CACEM;CACEM_EPCI;472;contrôles/an;ODYSSI_BILAN;CACEM / ODYSSI;Bilan ODYSSI 2023.pdf;60;PRODUCTION;OK;COMPLETE;;
2023;ANC;ANC_CONTROLE_CONCEPTION;CACEM;CACEM_EPCI;170;contrôles/an;ODYSSI_BILAN;CACEM / ODYSSI;Bilan ODYSSI 2023.pdf;61;PRODUCTION;OK;COMPLETE;;
2023;ANC;ANC_CONTROLE_EXECUTION;CACEM;CACEM_EPCI;61;contrôles/an;ODYSSI_BILAN;CACEM / ODYSSI;Bilan ODYSSI 2023.pdf;61;PRODUCTION;OK;COMPLETE;;
2023;ANC;ANC_CONTROLE_EXISTANT;CACEM;CACEM_EPCI;25;contrôles/an;ODYSSI_BILAN;CACEM / ODYSSI;Bilan ODYSSI 2023.pdf;61;PRODUCTION;OK;COMPLETE;;
2023;ANC;ANC_DIAGNOSTIC_VENTE;CACEM;CACEM_EPCI;216;contrôles/an;ODYSSI_BILAN;CACEM / ODYSSI;Bilan ODYSSI 2023.pdf;61;PRODUCTION;OK;COMPLETE;;
2023;EAU_POTABLE;EP_VOLUME_PRODUIT;EX_SICSM;EX_SICSM_DSP_2015_2027;15550899.0;m³/an;EX_SICSM_EP;SME / CAESM + Robert-Trinite;RAD_Eau_Potable_Ex-SICSM_2023.pdf;15;PRODUCTION;OK;COMPLETE;;Production commune au périmètre Ex-SICSM, non ventilée entre CAESM et Robert-Trinité.
2023;EAU_POTABLE;EP_VOLUME_MIS_DISTRIBUTION;EX_SICSM;EX_SICSM_DSP_2015_2027;14188553.0;m³/an;EX_SICSM_EP;SME / CAESM + Robert-Trinite;RAD_Eau_Potable_Ex-SICSM_2023.pdf;15;PRODUCTION;OK;COMPLETE;;Périmètre Ex-SICSM.
2023;EAU_POTABLE;EP_VOLUME_FACTURE;CAESM;CAESM_EPCI;7983058.0;m³/an;EX_SICSM_EP;SME / CAESM + Robert-Trinite;RAD_Eau_Potable_Ex-SICSM_2023.pdf;15;PRODUCTION;OK;COMPLETE;;
2023;EAU_POTABLE;EP_RESEAU_KM;CAESM;CAESM_EPCI;1377.23;km;EX_SICSM_EP;SME / CAESM + Robert-Trinite;RAD_Eau_Potable_Ex-SICSM_2023.pdf;15;PRODUCTION;OK;COMPLETE;;
2023;EAU_POTABLE;EP_ABONNES;CAESM;CAESM_EPCI;62699.0;abonnés;EX_SICSM_EP;SME / CAESM + Robert-Trinite;RAD_Eau_Potable_Ex-SICSM_2023.pdf;15;PRODUCTION;OK;COMPLETE;;
2023;EAU_POTABLE;P101.1_LOCAL;CAESM;CAESM_EPCI;98.5;%;EX_SICSM_EP;SME / CAESM + Robert-Trinite;RAD_Eau_Potable_Ex-SICSM_2023.pdf;15;PRODUCTION;OK;COMPLETE;;
