perimeter_id;commune_insee;commune_name;coverage_type;sector_label;valid_from;valid_to
CACEM_EPCI;97209;Fort-de-France;FULL_COMMUNE;;2017-01-01;
CACEM_EPCI;97213;Le Lamentin;FULL_COMMUNE;;2017-01-01;
CACEM_EPCI;97224;Saint-Joseph;FULL_COMMUNE;;2017-01-01;
CACEM_EPCI;97229;Schœlcher;FULL_COMMUNE;;2017-01-01;
CAESM_EPCI;97202;Les Anses-d'Arlet;FULL_COMMUNE;;2017-01-01;
CAESM_EPCI;97206;Le Diamant;FULL_COMMUNE;;2017-01-01;
CAESM_EPCI;97207;Ducos;FULL_COMMUNE;;2017-01-01;
CAESM_EPCI;97210;Le François;FULL_COMMUNE;;2017-01-01;
CAESM_EPCI;97217;Le Marin;FULL_COMMUNE;;2017-01-01;
CAESM_EPCI;97220;Rivière-Pilote;FULL_COMMUNE;;2017-01-01;
CAESM_EPCI;97221;Rivière-Salée;FULL_COMMUNE;;2017-01-01;
CAESM_EPCI;97223;Saint-Esprit;FULL_COMMUNE;;2017-01-01;
CAESM_EPCI;97226;Sainte-Anne;FULL_COMMUNE;;2017-01-01;
CAESM_EPCI;97227;Sainte-Luce;FULL_COMMUNE;;2017-01-01;
CAESM_EPCI;97231;Les Trois-Îlets;FULL_COMMUNE;;2017-01-01;
CAESM_EPCI;97232;Le Vauclin;FULL_COMMUNE;;2017-01-01;
CAP_NORD_EPCI;97201;L'Ajoupa-Bouillon;FULL_COMMUNE;;2017-01-01;
CAP_NORD_EPCI;97203;Basse-Pointe;FULL_COMMUNE;;2017-01-01;
CAP_NORD_EPCI;97234;Bellefontaine;FULL_COMMUNE;;2017-01-01;
CAP_NORD_EPCI;97205;Case-Pilote;FULL_COMMUNE;;2017-01-01;
CAP_NORD_EPCI;97208;Fonds-Saint-Denis;FULL_COMMUNE;;2017-01-01;
CAP_NORD_EPCI;97211;Grand'Rivière;FULL_COMMUNE;;2017-01-01;
CAP_NORD_EPCI;97212;Gros-Morne;FULL_COMMUNE;;2017-01-01;
CAP_NORD_EPCI;97230;La Trinité;FULL_COMMUNE;;2017-01-01;
CAP_NORD_EPCI;97204;Le Carbet;FULL_COMMUNE;;2017-01-01;
CAP_NORD_EPCI;97214;Le Lorrain;FULL_COMMUNE;;2017-01-01;
CAP_NORD_EPCI;97216;Le Marigot;FULL_COMMUNE;;2017-01-01;
