annee_reference;competence;service_id;nom_service;collectivite;epci_normalise;statut;mode_gestion;operateur;source_file;date_snapshot;source_sha256
2022;EP;196847;eau potable;Communauté d'Agglomération de l'ESPACE SUD MARTINIQUE;CAESM;Confirmé / publié;Délégation;SME;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676;72a6e788f80d32005166774f47bc2803783b655b294efda3f9b565512a6f0101
2022;EP;299714;eau potable : EAU POTABLE CAP NORD;Communauté d'Agglomération du Pays Nord Martinique ( CAP NORD MARTINIQUE);CAP_NORD;Confirmé / publié;Délégation;SME/SUEZ;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676;72a6e788f80d32005166774f47bc2803783b655b294efda3f9b565512a6f0101
2022;EP;251994;eau potable : Robert et Trinité;Communauté d'Agglomération du Pays Nord Martinique ( CAP NORD MARTINIQUE);CAP_NORD;Confirmé / publié;Délégation;SME;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676;72a6e788f80d32005166774f47bc2803783b655b294efda3f9b565512a6f0101
2022;EP;196862;eau potable : Régie Odyssi;Communauté dAgglomération du Centre de la Martinique;CACEM;Confirmé / publié;Régie;;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676;72a6e788f80d32005166774f47bc2803783b655b294efda3f9b565512a6f0101
2022;AC;196850;assainissement collectif : Toutes les communes;Communauté d'Agglomération de l'ESPACE SUD MARTINIQUE;CAESM;Confirmé / publié;Délégation;SME;SISPEA_extraction_2022_AC.xls;2026-09-24T17:34:59;212a317cdb6ddcdc06a500daf35f2b887f9d8f71a28cc759a7586355acf44019
2022;AC;316694;assainissement collectif : Assainissement  collectif hors Trinité et Robert CAP NORD Martinique;Communauté d'Agglomération du Pays Nord Martinique (  CAP NORD MARTINIQUE);CAP_NORD;Confirmé / publié;Régie;;SISPEA_extraction_2022_AC.xls;2026-09-24T17:34:59;212a317cdb6ddcdc06a500daf35f2b887f9d8f71a28cc759a7586355acf44019
2022;AC;250714;assainissement collectif : Robert et Trinité;Communauté d'Agglomération du Pays Nord Martinique (  CAP NORD MARTINIQUE);CAP_NORD;Confirmé / publié;Délégation;SME;SISPEA_extraction_2022_AC.xls;2026-09-24T17:34:59;212a317cdb6ddcdc06a500daf35f2b887f9d8f71a28cc759a7586355acf44019
2022;AC;196863;assainissement collectif : Régie Odyssi;Communauté dAgglomération du Centre de la Martinique;CACEM;Confirmé / publié;Régie;;SISPEA_extraction_2022_AC.xls;2026-09-24T17:34:59;212a317cdb6ddcdc06a500daf35f2b887f9d8f71a28cc759a7586355acf44019
2022;ANC;253154;assainissement non collectif : A.N.C Espace Sud Martinique;Communauté d'Agglomération de l'ESPACE SUD MARTINIQUE;CAESM;Confirmé / publié;Régie;;SISPEA_extraction_2022_ANC.xls;2026-09-24T17:35:15;9d64058217285fe8e5d58632fc97a6705e8b9fc450bec8a0a33fa861bbaa67bd
2022;ANC;252834;assainissement non collectif : SPANC CAP NORD MARTINIQUE;Communauté d'Agglomération du Pays Nord Martinique (  CAP NORD MARTINIQUE);CAP_NORD;Confirmé / publié;Régie;;SISPEA_extraction_2022_ANC.xls;2026-09-24T17:35:15;9d64058217285fe8e5d58632fc97a6705e8b9fc450bec8a0a33fa861bbaa67bd
2022;ANC;215917;assainissement non collectif;Communauté dAgglomération du Centre de la Martinique;CACEM;Confirmé / publié;Régie;ODYSSI;SISPEA_extraction_2022_ANC.xls;2026-09-24T17:35:15;9d64058217285fe8e5d58632fc97a6705e8b9fc450bec8a0a33fa861bbaa67bd
