annee_reference;competence;code;libelle;unite;min;max;valeur_consolidee;nombre_donnees_utilisees;source_file;date_snapshot
2022;EP;D101.0;Estimation du nombre d'habitants desservis;hab;33788.0;152276.0;365734.0;4.0;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;D102.0;Prix TTC du service au m³ pour 120 m³ au 1er janvier 2023;€/m³;2.75;3.05;2.842;4.0;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;P101.1;Taux de conformité des prélèvements sur les eaux distribuées réalisés au titre du contrôle sanitaire par rapport aux limites de qualité pour ce qui concerne la microbiologie;%;98.2;100.0;98.647;4.0;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;P102.1;Taux de conformité des prélèvements sur les eaux distribuées réalisés au titre du contrôle sanitaire par rapport aux limites de qualité pour ce qui concerne les paramètres physico-chimiques;%;99.5;100.0;99.744;4.0;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;P103.2B;Indice de connaissance et de gestion patrimoniale des réseaux d'eau potable;points;95.0;105.0;101.78;4.0;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;P104.3;Rendement du réseau de distribution;%;52.4;81.8;70.885;4.0;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;P105.3;Indice linéaire des volumes non comptés;m³/km/j;6.5;31.9;14.121;4.0;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;P106.3;Indice linéaire de pertes en réseau;m³/km/j;6.1;31.9;13.801;4.0;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;P107.2;Taux moyen de renouvellement des réseaux d'eau potable;%;0.06;0.28;0.199;4.0;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;P108.3;Indice d'avancement de la protection de la ressource en eau;%;40.0;75.8;62.692;4.0;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;P109.0;Montant des abandons de créance ou des versements à un fonds de solidarité;€/m³;0.0;0.098;0.04;4.0;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;P151.1;Taux d'occurrence des interruptions de service non programmées;nb/1000ab;4.91;17.16;9.685;4.0;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;P152.1;Taux de respect du délai maximal d'ouverture des branchements pour les nouveaux abonnés;%;100.0;100.0;100.0;4.0;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;P153.2;Durée d'extinction de la dette de la collectivité;an;0.4;9.3;2.527;4.0;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;P154.0;Taux d'impayés sur les factures d'eau de l'année précédente;%;9.21;14.18;11.294;3.0;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;P155.1;Taux de réclamations;nb/1000ab;1.76;33.63;14.648;4.0;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;VP.056;Nombre d'abonnés;ab;14158.0;76122.0;190066.0;4.0;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;DC.184;Montant HT des recettes liées à la facturation pour l'année 2022 (hors travaux);€HT;26947826.0;26947826.0;26947826.0;1.0;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;DC.195;Montant financier des travaux engagés;€HT;0.0;1064628.55;1064628.55;2.0;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;VP.119;Somme des abandons de créances et versements à un fonds de solidarité (TVA exclue);€HTVA;464.58;980000.0;987346.22;4.0;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;VP.185;Montant TTC facturé (hors travaux) au titre de l'année 2021, au 31/12/2022;€TTC;4611811.0;20058302.74;35673597.74;3.0;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;VP.020;Nombre d'interruptions de service non programmées;unité;210.8;652.0;1875.8;4.0;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;VP.003;Nombre de réclamations écrites reçues par l'opérateur;unité;26.0;124.0;205.0;3.0;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;VP.152;Nombre de réclamations écrites reçues par la collectivité;unité;0.0;2560.0;2579.0;4.0;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;VP.059;Volume produit;m³;0.0;15658799.0;36075228.0;4.0;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;VP.063;Volume comptabilisé domestique;m³;1725900.0;9992658.0;24911162.0;4.0;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;VP.201;Volume comptabilisé non domestique;m³;0.0;0.0;0.0;2.0;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;VP.220;Volume de service du réseau estimé;m³;106478.0;118924.0;344326.0;3.0;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;VP.221;Volumes consommés sans comptage;m³;45294.0;120820.0;286934.0;3.0;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;VP.077;Linéaire de réseau hors branchements;km;260.0;1657.0;3868.0;4.0;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;VP.140;Linéaire de réseaux renouvelés au cours des cinq dernières années (quel que soit le financeur);km;0.78;14.6;28.64;3.0;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;VP.141;Linéaire de réseaux renouvelés au cours de l'année (quel que soit le financeur);km;0.0;2.6;4.45;3.0;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;VP.062;Volume prélevé;m³;0.0;16105405.0;37423866.0;4.0;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;VP.126;Nombre de prélèvements réalisés en vue d'analyses microbiologiques;unité;52.0;297.0;819.0;4.0;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;VP.127;Nombre de prélèvements réalisés en vue d'analyses microbiologiques non conformes;unité;0.0;5.0;11.0;4.0;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;VP.128;Nombre de prélèvements réalisés en vue d'analyses physico-chimiques;unité;52.0;297.0;832.0;4.0;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;VP.129;Nombre de prélèvements réalisés en vue d'analyses physico-chimiques non conformes;unité;0.0;1.0;2.0;4.0;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
2022;EP;VP.175;Nombre d'habitants desservis;hab;33788.0;152276.0;365734.0;4.0;SISPEA_extraction_2022_AEP.ods;2026-09-24T17:33:42.676
