code_steu;nom_steu;nature_steu;code_sandre_nature_steu;commune_implantation;code_insee_commune;maitre_ouvrage;exploitant;epci_normalise;latitude_wgs84;longitude_wgs84;date_mise_service;date_mise_hors_service;source_file;first_seen_year;last_seen_year
080000197202;LES ANSES-D'ARLET - BOURG;Urbain;1;Les Anses-d'Arlet;97202;Communauté d'Agglomération de l'Espace Sud de Martinique;SOCIETE MARTINIQUAISE DES EAUX;CAESM;14.4956988;-61.0781472;1996-01-01;;export-as-telechargement(2).csv;2022;2022
080000297202;LES ANSES-D'ARLET - ANSE DUFOUR;Urbain;1;Les Anses-d'Arlet;97202;Communauté d'Agglomération de l'Espace Sud de Martinique;SOCIETE MARTINIQUAISE DES EAUX;CAESM;14.5266495;-61.089031;2014-03-01;;export-as-telechargement(2).csv;2022;2022
080000197203;BASSE-POINTE - HACKAERT;Urbain;1;Basse-Pointe;97203;Communauté d'Agglomération du Pays Nord Martinique;SOC EAUX ET ASSAINISSEMENT;CAP Nord;14.8683357;-61.125695;1994-01-01;;export-as-telechargement(2).csv;2022;2022
080000297203;BASSE-POINTE - MADELONNETTE;Urbain;1;Basse-Pointe;97203;Communauté d'Agglomération du Pays Nord Martinique;SOC EAUX ET ASSAINISSEMENT;CAP Nord;14.8361616;-61.1210207;2000-03-08;;export-as-telechargement(2).csv;2022;2022
080000197234;BELLEFONTAINE - FOND LAILLET/CHEVAL BLANC/BOURG;Urbain;1;Bellefontaine;97234;Communauté d'Agglomération du Pays Nord Martinique;SOCIETE MARTINIQUAISE DES EAUX;CAP Nord;14.6665533;-61.1572878;1982-12-31;;export-as-telechargement(2).csv;2022;2022
080000197204;LE CARBET - BOURG;Urbain;1;Le Carbet;97204;Communauté d'Agglomération du Pays Nord Martinique;SOCIETE MARTINIQUAISE DES EAUX;CAP Nord;14.7095195;-61.1781813;2007-01-01;;export-as-telechargement(2).csv;2022;2022
080000297204;LE CARBET - BOUT BOIS;Urbain;1;Le Carbet;97204;Communauté d'Agglomération du Pays Nord Martinique;SOCIETE MARTINIQUAISE DES EAUX;CAP Nord;14.7247785;-61.1615074;1990-01-01;;export-as-telechargement(2).csv;2022;2022
080000197205;CASE-PILOTE - MANIBA;Urbain;1;Case-Pilote;97205;Communauté d'Agglomération du Pays Nord Martinique;SOCIETE MARTINIQUAISE DES EAUX;CAP Nord;14.6452191;-61.1383726;2001-01-01;;export-as-telechargement(2).csv;2022;2022
080000297205;CASE-PILOTE - BATISOLEIL;Urbain;1;Case-Pilote;97205;Communauté d'Agglomération du Pays Nord Martinique;SOCIETE MARTINIQUAISE DES EAUX;CAP Nord;14.6574983;-61.1493804;1990-01-01;;export-as-telechargement(2).csv;2022;2022
080000697205;CASE-PILOTE - CGOSH;Privé;4;Case-Pilote;97205;COMITE GESTION OEUVRES SOCIALES HOSPIT;SOC EAUX ET ASSAINISSEMENT;Non déterminé;14.6357588;-61.1306928;2000-01-28;;export-as-telechargement(2).csv;2022;2022
080000397205;CASE-PILOTE - VETIVER;Privé;4;Case-Pilote;97205;CAISSE MUTUELLE COMPL ACTION SOCIALE EDF;SOCIETE MARTINIQUAISE DES EAUX;Non déterminé;14.6343218;-61.1318187;2000-01-01;;export-as-telechargement(2).csv;2022;2022
080000297206;LE DIAMANT - DIZAC;Urbain;1;Le Diamant;97206;Communauté d'Agglomération de l'Espace Sud de Martinique;SOCIETE MARTINIQUAISE DES EAUX;CAESM;14.4770825;-61.0387876;2006-01-01;;export-as-telechargement(2).csv;2022;2022
080000497206;LE DIAMANT - O'MULLANE;Urbain;1;Le Diamant;97206;Communauté d'Agglomération de l'Espace Sud de Martinique;SOCIETE MARTINIQUAISE DES EAUX;CAESM;14.48243;-61.0030787;1990-01-01;;export-as-telechargement(2).csv;2022;2022
080000797206;LE DIAMANT - TAUPINIERE;Urbain;1;Le Diamant;97206;Communauté d'Agglomération de l'Espace Sud de Martinique;SOCIETE MARTINIQUAISE DES EAUX;CAESM;14.4857765;-60.9928093;2014-10-22;;export-as-telechargement(2).csv;2022;2022
080000397207;DUCOS - CANAL COCOTE;Urbain;1;Ducos;97207;Communauté d'Agglomération de l'Espace Sud de Martinique;SOCIETE MARTINIQUAISE DES EAUX;CAESM;14.5636355;-60.9937025;2018-01-01;;export-as-telechargement(2).csv;2022;2022
080000197207;DUCOS - PAYS NOYE;Urbain;1;Ducos;97207;Communauté d'Agglomération de l'Espace Sud de Martinique;SOCIETE MARTINIQUAISE DES EAUX;CAESM;14.5820751;-60.9795802;1991-01-01;;export-as-telechargement(2).csv;2022;2022
080000297207;DUCOS - GRANDE SAVANE;Urbain;1;Ducos;97207;Communauté d'Agglomération de l'Espace Sud de Martinique;SOCIETE MARTINIQUAISE DES EAUX;CAESM;14.5763129;-60.9570767;1988-12-31;;export-as-telechargement(2).csv;2022;2022
080002097207;DUCOS - VALLON DU BAC;Privé;4;Ducos;97207;;SOC EAUX ET ASSAINISSEMENT;Non déterminé;14.5876578;-60.976226;2015-01-01;;export-as-telechargement(2).csv;2022;2022
080000197208;FONDS-SAINT-DENIS - LACROIX;Urbain;1;Fonds-Saint-Denis;97208;Communauté d'Agglomération du Pays Nord Martinique;SOCIETE MARTINIQUAISE DES EAUX;CAP Nord;14.7396739;-61.1368853;1990-01-01;;export-as-telechargement(2).csv;2022;2022
080003297209;FORT-DE-FRANCE - CHARMILLES;Urbain;1;Fort-de-France;97209;ODYSSI;ODYSSI;CACEM;14.6448803;-61.050651;2018-01-01;;export-as-telechargement(2).csv;2022;2022
080000797209;FORT-DE-FRANCE - CHP COLSON;Privé;4;Fort-de-France;97209;CENTRE HOSPITALIER SPECIALISE MAURICE DESPINOY;SOGEA MARTINIQUE;Non déterminé;14.6849176;-61.088053;1980-04-05;;export-as-telechargement(2).csv;2022;2022
080001097209;FORT-DE-FRANCE - AMEP;Privé;4;Fort-de-France;97209;ASS MARTINIQUAISE EDUCATION POPULAIRE;SOC EAUX ET ASSAINISSEMENT;Non déterminé;14.6292668;-61.057425;1990-06-04;;export-as-telechargement(2).csv;2022;2022
080007897209;FORT-DE-FRANCE - CROSSMA;Privé;4;Fort-de-France;97209;SPECIAL OLYMPICS MARTINIQUE;SOC EAUX ET ASSAINISSEMENT;Non déterminé;14.5998654;-61.0842428;2000-01-01;;export-as-telechargement(2).csv;2022;2022
080000197209;FORT-DE-FRANCE - DILLON 1;Urbain;1;Fort-de-France;97209;COMMUNAUTE D AGGLOMERATION DU CENTRE DE LA MARTINIQUE;ODYSSI;CACEM;14.5993116;-61.0490394;1990-12-31;;export-as-telechargement(2).csv;2022;2022
080000297209;FORT-DE-FRANCE - DILLON 2;Urbain;1;Fort-de-France;97209;COMMUNAUTE D AGGLOMERATION DU CENTRE DE LA MARTINIQUE;ODYSSI;CACEM;14.5989987;-61.0494411;1999-12-31;;export-as-telechargement(2).csv;2022;2022
080000497209;FORT-DE-FRANCE - GODISSARD;Urbain;1;Fort-de-France;97209;COMMUNAUTE D AGGLOMERATION DU CENTRE DE LA MARTINIQUE;ODYSSI;CACEM;14.6327003;-61.0660357;1981-12-31;;export-as-telechargement(2).csv;2022;2022
080006197209;FORT-DE-FRANCE - LES TERRASSES DE BALATA;Urbain;1;Fort-de-France;97209;COMMUNAUTE D AGGLOMERATION DU CENTRE DE LA MARTINIQUE;ODYSSI;CACEM;14.6552526;-61.0852103;2021-01-01;;export-as-telechargement(2).csv;2022;2022
080000497213;FORT-DE-FRANCE - LONG PRE;Urbain;1;Le Lamentin;97213;COMMUNAUTE D AGGLOMERATION DU CENTRE DE LA MARTINIQUE;ODYSSI;CACEM;14.6296031;-61.0052624;1975-01-01;;export-as-telechargement(2).csv;2022;2022
080002897209;FORT-DE-FRANCE - LOTISSEMENT LES EVERGLADES;Privé;4;Fort-de-France;97209;;SOC EAUX ET ASSAINISSEMENT;Non déterminé;14.6410928;-61.0451434;1990-06-04;;export-as-telechargement(2).csv;2022;2022
080008397209;FORT-DE-FRANCE - LOTISSEMENT MODESTE;Urbain;1;Fort-de-France;97209;COMMUNAUTE D AGGLOMERATION DU CENTRE DE LA MARTINIQUE;ODYSSI;CACEM;14.6208053;-61.0755785;2018-01-01;;export-as-telechargement(2).csv;2022;2022
080000597209;FORT-DE-FRANCE - LUNETTE BOUILLEE;Urbain;1;Fort-de-France;97209;ODYSSI;ODYSSI;CACEM;14.624453;-61.0588502;1990-06-04;;export-as-telechargement(2).csv;2022;2022
080003597209;FORT-DE-FRANCE - PLATEAU TIBERGE;Privé;4;Fort-de-France;97209;ODYSSI;SOC EAUX ET ASSAINISSEMENT;CACEM;14.6398698;-61.058826;2007-01-01;;export-as-telechargement(2).csv;2022;2022
080000197229;FORT-DE-FRANCE - POINTE DES NEGRES;Urbain;1;Schœlcher;97229;COMMUNAUTE D AGGLOMERATION DU CENTRE DE LA MARTINIQUE;ODYSSI;CACEM;14.6012112;-61.08966;2001-12-31;;export-as-telechargement(2).csv;2022;2022
080004097209;FORT-DE-FRANCE - RESIDENCE DES ILES;Privé;4;Fort-de-France;97209;MAGPLUS IMMOBILIER;SOC EAUX ET ASSAINISSEMENT;Non déterminé;14.6351004;-61.0579955;1990-06-04;;export-as-telechargement(2).csv;2022;2022
080004297209;FORT-DE-FRANCE - RESIDENCE LAETITIA;Privé;4;Fort-de-France;97209;;;Non déterminé;14.6297267;-61.0779975;2000-01-01;;export-as-telechargement(2).csv;2022;2022
080003997209;FORT-DE-FRANCE - RESIDENCE LES CYCLADES;Privé;4;Fort-de-France;97209;MAGPLUS IMMOBILIER;SOC EAUX ET ASSAINISSEMENT;Non déterminé;14.6198926;-61.0755865;2022-12-20;;export-as-telechargement(2).csv;2022;2022
080004397209;FORT-DE-FRANCE - RESIDENCE LES GOYAVES;Privé;4;Fort-de-France;97209;;SOC EAUX ET ASSAINISSEMENT;Non déterminé;14.6133695;-61.077982;2015-01-01;;export-as-telechargement(2).csv;2022;2022
080008597209;FORT-DE-FRANCE - RESIDENCE MIMOSA;Privé;4;Fort-de-France;97209;SIMAR;SOC EAUX ET ASSAINISSEMENT;Non déterminé;14.6387922;-61.0705118;2011-01-01;;export-as-telechargement(2).csv;2022;2022
080005597209;FORT-DE-FRANCE - RESIDENCE ZAMANA;Privé;4;Fort-de-France;97209;SIMAR;SOC EAUX ET ASSAINISSEMENT;Non déterminé;14.6412337;-61.0695994;2010-12-31;;export-as-telechargement(2).csv;2022;2022
080001597213;LE LAMENTIN - BLANDIN;Privé;4;Le Lamentin;97213;ASSOC SYND DE COPROP LOT LES MANGLES;SOC EAUX ET ASSAINISSEMENT;Non déterminé;14.6158114;-61.0177855;2000-01-28;;export-as-telechargement(2).csv;2022;2022
080001797213;LE LAMENTIN - CONNEXION ZI LES MANGLES;Privé;4;Le Lamentin;97213;ASSOC SYND DE COPROP LOT LES MANGLES;SOC EAUX ET ASSAINISSEMENT;Non déterminé;14.616997;-61.0211808;2000-01-01;;export-as-telechargement(2).csv;2022;2022
080001997213;LE LAMENTIN - MULTIGROS;Privé;4;Le Lamentin;97213;;;Non déterminé;14.6185121;-61.0336311;2015-01-01;;export-as-telechargement(2).csv;2022;2022
080000897209;FORT-DE-FRANCE - LES MEYNARD;Urbain;1;Fort-de-France;97209;COMMUNAUTE D AGGLOMERATION DU CENTRE DE LA MARTINIQUE;ODYSSI;CACEM;14.6334651;-61.0407745;2022-01-01;;export-as-telechargement(2).csv;2022;2022
080000697209;FORT-DE-FRANCE - TIVOLI LA FONTANE;Urbain;1;Fort-de-France;97209;;;Non déterminé;14.6408602;-61.0725171;2022-01-01;;export-as-telechargement(2).csv;2022;2022
080000197210;LE FRANCOIS - POINTE COURCHET;Urbain;1;Le François;97210;Communauté d'Agglomération de l'Espace Sud de Martinique;SOCIETE MARTINIQUAISE DES EAUX;CAESM;14.6212821;-60.9045716;1998-01-01;;export-as-telechargement(2).csv;2022;2022
080000497210;LE FRANCOIS - CAP-EST;Privé;4;Le François;97210;;SOC EAUX ET ASSAINISSEMENT;Non déterminé;14.5878109;-60.851769;2000-01-28;;export-as-telechargement(2).csv;2022;2022
080000697210;LE FRANCOIS - MANSARDE RANCÉE;Urbain;1;Le François;97210;Communauté d'Agglomération de l'Espace Sud de Martinique;SOCIETE MARTINIQUAISE DES EAUX;CAESM;14.6476325;-60.9066695;2015-01-01;;export-as-telechargement(2).csv;2022;2022
080000197211;GRAND'RIVIERE - SAINTE CATHERINE;Urbain;1;Grand'Rivière;97211;Communauté d'Agglomération du Pays Nord Martinique;SOCIETE MARTINIQUAISE DES EAUX;CAP Nord;14.8729041;-61.1778765;2006-12-31;;export-as-telechargement(2).csv;2022;2022
080000297211;GRAND'RIVIERE - STADE GRAND RIVIÈRE;Urbain;1;Grand'Rivière;97211;Communauté d'Agglomération du Pays Nord Martinique;SOC EAUX ET ASSAINISSEMENT;CAP Nord;14.868485;-61.1756185;2009-01-01;;export-as-telechargement(2).csv;2022;2022
080000497212;GROS-MORNE - DENEL;Urbain;1;Gros-Morne;97212;Communauté d'Agglomération du Pays Nord Martinique;SOC EAUX ET ASSAINISSEMENT;CAP Nord;14.7205092;-60.9903069;2010-03-26;;export-as-telechargement(2).csv;2022;2022
080000297212;GROS-MORNE - COLLEGE LA FRAICHEUR;Privé;4;Gros-Morne;97212;;;Non déterminé;14.7132086;-60.9956287;2018-01-01;;export-as-telechargement(2).csv;2022;2022
080000297201;AJOUPA-BOUILLON - DESCHAMPS CITÉ GRENADE;Urbain;1;L'Ajoupa-Bouillon;97201;Communauté d'Agglomération du Pays Nord Martinique;SOC EAUX ET ASSAINISSEMENT;CAP Nord;14.8181331;-61.108942;2006-12-31;;export-as-telechargement(2).csv;2022;2022
080000497230;TRINITE - BELLEVUE;Urbain;1;La Trinité;97230;Communauté d'Agglomération du Pays Nord Martinique;SOC EAUX ET ASSAINISSEMENT;CAP Nord;14.7379605;-61.0103614;2000-03-08;;export-as-telechargement(2).csv;2022;2022
080000297230;TRINITE - TARTANE;Urbain;1;La Trinité;97230;Communauté d'Agglomération du Pays Nord Martinique;SOCIETE MARTINIQUAISE DES EAUX;CAP Nord;14.7599837;-60.9252011;2006-01-01;;export-as-telechargement(2).csv;2022;2022
080000297210;LE FRANCOIS - BONNY CHOPOTTE;Urbain;1;Le François;97210;Communauté d'Agglomération de l'Espace Sud de Martinique;SOCIETE MARTINIQUAISE DES EAUX;CAESM;14.6382146;-60.9205502;2012-12-31;;export-as-telechargement(2).csv;2022;2022
