year_reference;code_agglo;nom_agglo;commune_principale;code_insee_commune_principale;etat_agglo;taille_agglo_eh;tranche_obligation;maximum_pollutions_entrantes_eh;somme_capacites_nominales_eh;conformite_equipement_agglo;conformite_performance_agglo;conformite_collecte_temps_sec;conformite_globale_agglo;date_mise_a_jour_agglo;type_reseau_majoritaire;source_file
2022;080000197202;ANSES-D'ARLET;Les Anses-d'Arlet;97202;En activité;2717.0;"[ 2 000 ; 10 000 [ EH";2717.0;5000.0;Non;Non;Oui;Non;2024-12-17;Séparatif;export-as-telechargement(2).csv
2022;080000297202;ANSES-D'ARLET-ANSE-DUFOUR;Les Anses-d'Arlet;97202;En activité;131.0;"] 200 ; 2 000 [ EH";131.0;450.0;Oui;Oui;N/A;Oui;2024-12-17;Inconnu;export-as-telechargement(2).csv
2022;080000197203;BASSE-POINTE;Basse-Pointe;97203;En activité;1675.0;"[ 2 000 ; 10 000 [ EH";1675.0;4000.0;Non;Non;Oui;Non;2024-12-06;Séparatif;export-as-telechargement(2).csv
2022;080000297203;Basse-PointeMADELONNETTE;Basse-Pointe;97203;En activité;147.0;"] 200 ; 2 000 [ EH";147.0;200.0;Oui;Oui;N/A;Oui;2024-12-06;Inconnu;export-as-telechargement(2).csv
2022;080000197234;BELLEFONTAINE- MARTINIQUE;Bellefontaine;97234;En activité;3667.0;"[ 2 000 ; 10 000 [ EH";3667.0;1900.0;Non;Oui;Oui;Non;2024-12-17;Séparatif;export-as-telechargement(2).csv
2022;080000197204;CARBET-BOURG;Le Carbet;97204;En activité;2354.0;"[ 2 000 ; 10 000 [ EH";2354.0;4000.0;Non;Oui;Oui;Non;2024-12-17;Séparatif;export-as-telechargement(2).csv
2022;080000297204;CARBET-BOUT-BOIS;Le Carbet;97204;En activité;0.0;Taille ≤ 200 EH;0.0;80.0;Oui;Non;N/A;Non;2024-12-19;Inconnu;export-as-telechargement(2).csv
2022;080000197205;CASE-PILOTE;Case-Pilote;97205;En activité;7000.0;"[ 2 000 ; 10 000 [ EH";7000.0;7000.0;Non;Non;Oui;Non;2024-12-17;Séparatif;export-as-telechargement(2).csv
2022;080000297205;CASE-PILOTE-BATISOLEIL;Case-Pilote;97205;En activité;13.0;Taille ≤ 200 EH;13.0;80.0;Oui;Oui;N/A;Oui;2024-12-19;Inconnu;export-as-telechargement(2).csv
2022;080000497205;CASE-PILOTE-CGOSH;Case-Pilote;97205;En activité;0.0;Taille ≤ 200 EH;0.0;40.0;Non;Non;N/A;Non;2024-12-19;Inconnu;export-as-telechargement(2).csv
2022;080000397205;CASE-PILOTE-VÉTIVER;Case-Pilote;97205;En activité;125.0;"] 200 ; 2 000 [ EH";125.0;400.0;Oui;Non;N/A;Non;2024-12-06;Inconnu;export-as-telechargement(2).csv
2022;080000197206;DIAMANT;Le Diamant;97206;En activité;6192.0;"[ 2 000 ; 10 000 [ EH";6192.0;8300.0;Non;Oui;Oui;Non;2024-12-17;Séparatif;export-as-telechargement(2).csv
2022;080000497206;DIAMANT-O'MULLANE;Le Diamant;97206;En activité;68.0;"] 200 ; 2 000 [ EH";68.0;450.0;Oui;Non;N/A;Non;2024-12-17;Inconnu;export-as-telechargement(2).csv
2022;080000397206;DIAMANT-TAUPINIÈRE;Le Diamant;97206;En activité;152.0;"] 200 ; 2 000 [ EH";152.0;800.0;Oui;Oui;N/A;Oui;2024-12-17;Inconnu;export-as-telechargement(2).csv
2022;080000197207;DUCOS;Ducos;97207;En activité;18934.0;"[ 10 000 ; 100 000 [ E";18934.0;0.0;Non;Non;Oui;Non;2024-12-06;Séparatif;export-as-telechargement(2).csv
2022;080000397207;DUCOS-GRANDE-SAVANE;Ducos;97207;En activité;417.0;"] 200 ; 2 000 [ EH";417.0;250.0;Non;Non;N/A;Non;2024-12-17;Inconnu;export-as-telechargement(2).csv
2022;080000497207;DUCOS-VALLON DU BAC;Ducos;97207;En activité;0.0;Taille ≤ 200 EH;0.0;150.0;Non;Non;N/A;Non;2024-12-19;Inconnu;export-as-telechargement(2).csv
2022;080000197208;FONDS-SAINT-DENIS-LACROIX;Fonds-Saint-Denis;97208;En activité;36.0;Taille ≤ 200 EH;36.0;100.0;Oui;Non;N/A;Non;2024-12-19;Inconnu;export-as-telechargement(2).csv
2022;080000497209;Fort-de-France - CHARMILLES;Fort-de-France;97209;En activité;200.0;"] 200 ; 2 000 [ EH";200.0;200.0;Oui;Non;N/A;Non;2024-12-19;Inconnu;export-as-telechargement(2).csv
2022;080000297209;Fort-de-France - CHP COLSON;Fort-de-France;97209;En activité;0.0;"] 200 ; 2 000 [ EH";0.0;3000.0;Oui;Non;N/A;Non;2024-12-06;Inconnu;export-as-telechargement(2).csv
2022;080000197209;Fort-de-France - DILLON 1 ET 2;Fort-de-France;97209;En activité;110772.0;"[ 100 000 ; ... [ EH";110772.0;85000.0;Non;Non;Oui;Non;2024-12-06;Séparatif;export-as-telechargement(2).csv
2022;080000797209;Fort-de-France- LES MEYNARD;Fort-de-France;97209;En activité;0.0;Taille ≤ 200 EH;0.0;30.0;Non;Non;N/A;Non;2024-12-19;Unitaire;export-as-telechargement(2).csv
2022;080000697209;Fort-de-France TIVOLI LA FONTANE;Fort-de-France;97209;En activité;0.0;Taille ≤ 200 EH;0.0;150.0;Non;Non;N/A;Non;2024-12-19;Inconnu;export-as-telechargement(2).csv
2022;080000197210;FRANCOIS;Le François;97210;En activité;4964.0;"[ 10 000 ; 100 000 [ E";4964.0;6666.0;Non;Non;Oui;Non;2024-12-17;Séparatif;export-as-telechargement(2).csv
2022;080001097210;FRANCOIS-CAP-EST;Le François;97210;En activité;0.0;"] 200 ; 2 000 [ EH";0.0;500.0;Oui;Non;N/A;Non;2024-12-06;Inconnu;export-as-telechargement(2).csv
2022;080001197210;FRANCOIS- MANSARDE RANCÉE;Le François;97210;En activité;328.0;"] 200 ; 2 000 [ EH";328.0;1000.0;Oui;Oui;N/A;Oui;2024-12-17;Inconnu;export-as-telechargement(2).csv
2022;080000197211;Grand'Rivière - STADE GRAND RIVIERE;Grand'Rivière;97211;En activité;190.0;"] 200 ; 2 000 [ EH";190.0;25.0;Oui;Non;N/A;Non;2024-12-19;Inconnu;export-as-telechargement(2).csv
