year_reference;code_steu;code_agglo;nom_agglo;nature_steu;epci_normalise;etat_steu;capacite_nominale_eh;capacite_nominale_kg_dbo5;percentile95_m3_j;charge_max_entree_eh;debit_entrant_m3_j;filiere_eau_principale;filiere_boues_principale;conformite_equipement_agglo;conformite_performance_agglo;conformite_collecte_agglo;conformite_globale_agglo;conformite_equipement_steu;conformite_performance_steu;conformite_station_reconstituee;cause_non_conformite;production_boues_tms;code_systeme_collecte;nom_systeme_collecte;code_masse_eau;nom_masse_eau;nom_milieu_rejet;type_milieu_rejet;latitude_rejet_wgs84;longitude_rejet_wgs84;date_derniere_modification_source;date_mise_a_jour_agglo;source_file
2022;080000197202;080000197202;ANSES-D'ARLET;Urbain;CAESM;En service;5000.0;300.0;390.0;2717.0;309.0;Boue activée aération prolongée (très faible charge);Filtration à bande;Non;Non;Oui;Non;Non;Non;False;Mauvaises performances;15.17;080000197202;SC du STEU : BOURG;FRJC003;Anses d'Arlet;Rejet BOURG;Eau côtière;14.4875689;-61.0863332;2024-12-17;2024-12-17;export-as-telechargement(2).csv
2022;080000297202;080000297202;ANSES-D'ARLET-ANSE-DUFOUR;Urbain;CAESM;En service;450.0;27.0;35.0;131.0;11.0;Bioréacteur à membrane;Epaississement statique gravitaire;Oui;Oui;N/A;Oui;Oui;Oui;;;0.0;S080000297202;Systeme de collecte - ANSES-D'ARLET-Anse-Dufour;;;REJET PRINCIPAL DE ANSES-D'ARLET-Anse-Dufour;Eau côtière;;;2024-12-17;2024-12-17;export-as-telechargement(2).csv
2022;080000197203;080000197203;BASSE-POINTE;Urbain;CAP Nord;En service;4000.0;240.0;353.0;1675.0;245.0;Boue activée aération prolongée (très faible charge);Filtration à bande;Non;Non;Oui;Non;Non;Non;False;Non transmission complète ou incomplète de l'autosurveillance (STEU);7.8;080000197203;SC du STEU : HACKAERT;FRJC004;Nord-Atlantique, plateau insulaire;Rejet HACKAERT;Estuaire (dont étang salé);14.8684057;-61.1254063;2024-12-05;2024-12-06;export-as-telechargement(2).csv
2022;080000297203;080000297203;Basse-PointeMADELONNETTE;Urbain;CAP Nord;En service;200.0;12.0;20.0;147.0;20.0;Boue activée faible charge;Epaississement statique gravitaire;Oui;Oui;N/A;Oui;Oui;Oui;;;0.0;S080000297203;Systeme de collecte - BASSE-POINTE-Madelonnette;;;REJET PRINCIPAL DE BASSE-POINTE-Madelonnette;Eau douce de surface;14.8362255;-61.1211038;2024-12-05;2024-12-06;export-as-telechargement(2).csv
2022;080000197234;080000197234;BELLEFONTAINE- MARTINIQUE;Urbain;CAP Nord;En service;1900.0;114.0;428.0;3667.0;213.0;Boue activée aération prolongée (très faible charge);Table d'égouttage;Non;Oui;Oui;Non;Non;Oui;False;;24.35;080000197234;SC du STEU : Fond Laillet/Cheval Blanc/bourgFond Laillet/Che;FRJC002;Nord-Caraibe;Rejet Fond Laillet/Cheval Blanc/bourgFond Laillet/;Eau côtière;14.6666874;-61.1605266;2024-12-17;2024-12-17;export-as-telechargement(2).csv
2022;080000197204;080000197204;CARBET-BOURG;Urbain;CAP Nord;En service;4000.0;240.0;738.0;2354.0;524.0;Boue activée faible charge;Filtration à bande;Non;Oui;Oui;Non;Non;Oui;False;;28.15;080000197204;SC du STEU : bourg;FRJR119;Carbet;Rejet bourg;Eau douce de surface;14.7092998;-61.1789724;2024-12-17;2024-12-17;export-as-telechargement(2).csv
2022;080000297204;080000297204;CARBET-BOUT-BOIS;Urbain;CAP Nord;En service;80.0;5.0;0.0;0.0;0.0;Décantation physique;Epaississement statique gravitaire;Oui;Non;N/A;Non;Oui;Non;;Non transmission de l'autosurveillance (STEU);0.0;S080000297204;Systeme de collecte - CARBET;FRJC002;Nord-Caraibe;REJET PRINCIPAL DE CARBET;Eau douce de surface;14.7247415;-61.1614056;2024-12-19;2024-12-19;export-as-telechargement(2).csv
2022;080000197205;080000197205;CASE-PILOTE;Urbain;CAP Nord;En service;7000.0;420.0;463.0;7000.0;386.0;Boue activée aération prolongée (très faible charge);Filtration à bande;Non;Non;Oui;Non;Non;Non;False;Point de mesure A2 absent;34.51;080000197205;SC du STEU : MANIBA;FRJC002;Nord-Caraibe;Rejet MANIBA;Eau côtière;14.6382014;-61.1457088;2024-12-17;2024-12-17;export-as-telechargement(2).csv
2022;080000297205;080000297205;CASE-PILOTE-BATISOLEIL;Urbain;CAP Nord;En service;80.0;5.0;10.0;13.0;10.0;Boue activée faible charge;Epaississement statique gravitaire;Oui;Oui;N/A;Oui;Oui;Oui;;;0.0;S080000297205;Systeme de collecte - CASE-PILOTE;FRJC002;Nord-Caraibe;REJET PRINCIPAL DE CASE-PILOTE;Eau douce de surface;14.6574534;-61.1494179;2024-12-19;2024-12-19;export-as-telechargement(2).csv
2022;080000697205;080000497205;CASE-PILOTE-CGOSH;Privé;Non déterminé;En service;40.0;2.0;0.0;0.0;0.0;Boue activée forte charge;;Non;Non;N/A;Non;Non;Non;;Non transmission de l'autosurveillance (STEU);0.0;S080000697205;Systeme de collecte - CASE-PILOTE;FRJC002;Nord-Caraibe;REJET PRINCIPAL DE CASE-PILOTE;Eau douce de surface;14.6357496;-61.1306743;2024-12-19;2024-12-19;export-as-telechargement(2).csv
