year_reference;source_file;libelle_du_bassin;code_du_bassin;nom_de_la_region;numero_departement;direction_du_service_gestionnaire;service_gestionnaire_de_l_agglo;code_sandre_de_l_agglomeration;nom_de_l_agglomeration;nom_de_la_commune_principale;code_insee_commune_principale;etat_de_agglomeration_en_2022;annee_de_creation;nombre_de_communes;nombre_de_steu;nombre_de_steu_en_service;taille_agglomeration_eh;tranche_obligation;maximum_de_la_somme_des_pollutions_entrantes_eh;somme_des_capacites_nominales_eh;conformite_equipement_agglo;conformite_perf_agglo;conformite_collecte_agglo_temps_sec;conformite_agglo_globale;date_de_mise_a_jour_agglo;type_de_reseau_majoritaire;existence_de_rejets_par_temps_sec;pourcentage_rejet_direct_temps_sec;date_mise_en_conformite_collecte_temps_sec;code_du_steu;nom_du_steu;nature_du_steu;code_sandre_nature_steu;etat_du_steu_en_2022;date_de_mise_en_service_du_steu;date_de_mise_hors_serv_du_steu;maitre_ouvrage;exploitant;commune_implantation;code_insee_commune_implantation;coordonnee_x_du_steu;coordonnee_y_du_steu;systeme_de_projection;code_sandre_systeme_de_projection;latitude_du_steu_wgs84;longitude_du_steu_wgs84;capacite_nominale_en_eh;capacite_nominale_en_kg_de_dbo5;percentile95_calcule_en_m3_j;charge_maximale_entrante_eh;debit_entrant_en_m3_j;filiere_eau_principale;filiere_boues_principale;arrete_concerne_regime_administratif;date_de_autorisation_ou_recepisse;niveau_traitement_requis_eru_biologique;date_echeance_du_traitement_requis_eru_biologique;date_de_mise_en_conformite_du_traitement_requis_eru_biologique;niveau_traitement_requis_eru_azote;date_echeance_du_traitement_requis_eru_azote;date_de_mise_en_conformite_du_traitement_requis_eru_azote;niveau_traitement_requis_eru_phosphore;date_echeance_du_traitement_requis_eru_phosphore;date_de_mise_en_conformite_du_traitement_requis_eru_phosphore;conformite_eru_equipement_steu;niveau_traitement_existant_biologique;niveau_traitement_existant_azote;niveau_traitement_existant_phosphore;niveau_traitement_existant_desinfection;existence_manuel_autosurveillance_steu;validation_manuel_autosurveillance_steu;conformite_eru_steu_perf_dbo;conformite_eru_steu_perf_dco;conformite_eru_steu_perf_ngl;conformite_eru_steu_perf_pt;conformite_globale_eru_performances;cause_de_non_conformite;prod_boues_sans_reactif_tms_an;duree_stockage_mois;quantite_reactifs_utilises_t_an;existence_plan_epandage_reglement;quantite_epandage_agricole_tms_an;quantite_incineree_tms_an;quantite_compostage_produit_tms_an;quantite_mise_en_decharge_tms_an;quantite_en_valorisation_industrielle_tms_an;qte_envoyee_sur_autre_steu_tms_an;compostage_dechet;transit;unite_de_traitement_de_sous_produits;centre_de_sechage_hors_steu;unite_de_methanisation;date_derniere_modification_steu;nom_du_milieu_de_rejet;type_du_milieu_du_rejet;nom_du_bassin_versant;coordonnee_x_du_rejet;coordonnee_y_du_rejet;latitude_du_rejet_wgs84;longitude_du_rejet_wgs84;rejet_a_plus_de_1500m_altitude;nom_zs;code_zs;sensibilite_azote;date_arrete_zs_azote;sensibilite_phosphore;date_arrete_zs_phosphore;code_sandre_du_systeme_de_collecte;nom_du_systeme_de_collecte;code_de_masse_eau;nom_de_la_masse_eau;commune_raccordee
2022;export-as-telechargement(2).csv;MARTINIQUE;1;MARTINIQUE;972;DEAL de Martinique;SPE de la Martinique;080000197202;ANSES-D'ARLET;Les Anses-d'Arlet;97202;En activité;1996;1;1;1;2717;"[ 2 000 ; 10 000 [ EH";2717;5000;Non;Non;Oui;Non;2024-12-17;Séparatif;Absence de rejets directs temps sec;0;2021-12-31;080000197202;LES ANSES-D'ARLET - BOURG;Urbain;1;En service;1996-01-01;;Communauté d'Agglomération de l'Espace Sud de Martinique;SOCIETE MARTINIQUAISE DES EAUX;Les Anses-d'Arlet;97202;707124;1603419;UTM Nord fuseau 20;39;14.4956988;-61.0781472;5000;300;390;2717;309;Boue activée aération prolongée (très faible charge);Filtration à bande;Arrêté du 21 juillet 2015 relatif à l'assainissement des agglomérations;;Traitement secondaire;2005-12-31;2030-12-31;;;;;;;Non;Traitement secondaire;;;Désinfection;Non;Non valide;Non;Non;;;Non;Mauvaises performances;15.17;0;0;Non;0;0;0;0;0;0;0;0;0;0;0;2024-12-17;Rejet BOURG;Eau côtière;Mer des Caraïbes;706249;1602512;14.4875689;-61.0863332;Non;Hors Zone Sensible;FR_HZS_00000  ;Non;;Non;;080000197202;SC du STEU : BOURG;FRJC003;Anses d'Arlet;97202 : Les Anses-d'Arlet
2022;export-as-telechargement(2).csv;MARTINIQUE;1;MARTINIQUE;972;DEAL de Martinique;SPE de la Martinique;080000297202;ANSES-D'ARLET-ANSE-DUFOUR;Les Anses-d'Arlet;97202;En activité;2015;1;1;1;131;"] 200 ; 2 000 [ EH";131;450;Oui;Oui;N/A;Oui;2024-12-17;Inconnu;Absence de rejets directs temps sec;0;2020-01-01;080000297202;LES ANSES-D'ARLET - ANSE DUFOUR;Urbain;1;En service;2014-03-01;;Communauté d'Agglomération de l'Espace Sud de Martinique;SOCIETE MARTINIQUAISE DES EAUX;Les Anses-d'Arlet;97202;705922;1606834;UTM Nord fuseau 20;39;14.5266495;-61.089031;450;27;35;131;11;Bioréacteur à membrane;Epaississement statique gravitaire;Arrêté du 21 juillet 2015 relatif à l'assainissement des agglomérations;2008-11-12;Traitement approprié;2005-12-31;2021-12-31;;;;;;;Oui;Traitement secondaire;;;;Non;Non valide;Oui;Oui;;;Oui; ;0;0;0;Non;0;0;0;0;0;1;0;0;0;0;0;2024-12-17;REJET PRINCIPAL DE ANSES-D'ARLET-Anse-Dufour;Eau côtière;MARTINIQUE               ;;;;;Non;Hors Zone Sensible;FR_HZS_00000  ;Non;;Non;;S080000297202;Systeme de collecte - ANSES-D'ARLET-Anse-Dufour;;;97202 : Les Anses-d'Arlet
2022;export-as-telechargement(2).csv;MARTINIQUE;1;MARTINIQUE;972;DEAL de Martinique;SPE de la Martinique;080000197203;BASSE-POINTE;Basse-Pointe;97203;En activité;1994;1;1;1;1675;"[ 2 000 ; 10 000 [ EH";1675;4000;Non;Non;Oui;Non;2024-12-06;Séparatif;Absence de rejets directs temps sec;0;2022-12-31;080000197203;BASSE-POINTE - HACKAERT;Urbain;1;En service;1994-01-01;;Communauté d'Agglomération du Pays Nord Martinique;SOC EAUX ET ASSAINISSEMENT;Basse-Pointe;97203;701656;1644610;UTM Nord fuseau 20;39;14.8683357;-61.125695;4000;240;353;1675;245;Boue activée aération prolongée (très faible charge);Filtration à bande;Arrêté du 21 juillet 2015 relatif à l'assainissement des agglomérations;;Traitement secondaire;2005-12-31;2030-12-31;;;;;;;Non;Traitement secondaire;;;;Non;Non valide;Non;Non;;;Non;Non transmission complète ou incomplète de l'autosurveillance (STEU);7.8;0;0;Non;0;0;0;0;0;0;0;0;8;0;0;2024-12-05;Rejet HACKAERT;Estuaire (dont étang salé);Océan Atlantique;701687;1644618;14.8684057;-61.1254063;Non;Hors Zone Sensible;FR_HZS_00000  ;Non;;Non;;080000197203;SC du STEU : HACKAERT;FRJC004;Nord-Atlantique, plateau insulaire;97203 : Basse-Pointe
2022;export-as-telechargement(2).csv;MARTINIQUE;1;MARTINIQUE;972;DEAL de Martinique;SPE de la Martinique;080000297203;Basse-PointeMADELONNETTE;Basse-Pointe;97203;En activité;2000;1;1;1;147;"] 200 ; 2 000 [ EH";147;200;Oui;Oui;N/A;Oui;2024-12-06;Inconnu;Absence de rejets directs temps sec;0;;080000297203;BASSE-POINTE - MADELONNETTE;Urbain;1;En service;2000-03-08;;Communauté d'Agglomération du Pays Nord Martinique;SOC EAUX ET ASSAINISSEMENT;Basse-Pointe;97203;702189;1641054;UTM Nord fuseau 20;39;14.8361616;-61.1210207;200;12;20;147;20;Boue activée faible charge;Epaississement statique gravitaire;;;Traitement approprié;2005-12-31;2000-01-01;;;;;;;Oui;Traitement approprié;;;;Non;Non valide;Oui;Oui;;;Oui; ;0;0;0;Non;0;0;0;0;0;0;0;0;0;0;0;2024-12-05;REJET PRINCIPAL DE BASSE-POINTE-Madelonnette;Eau douce de surface;MARTINIQUE               ;702180;1641061;14.8362255;-61.1211038;Non;Hors Zone Sensible;FR_HZS_00000  ;Non;;Non;;S080000297203;Systeme de collecte - BASSE-POINTE-Madelonnette;;;97203 : Basse-Pointe
2022;export-as-telechargement(2).csv;MARTINIQUE;1;MARTINIQUE;972;DEAL de Martinique;SPE de la Martinique;080000197234;BELLEFONTAINE- MARTINIQUE;Bellefontaine;97234;En activité;1982;1;1;1;3667;"[ 2 000 ; 10 000 [ EH";3667;1900;Non;Oui;Oui;Non;2024-12-17;Séparatif;Absence de rejets directs temps sec;0;2021-01-01;080000197234;BELLEFONTAINE - FOND LAILLET/CHEVAL BLANC/BOURG;Urbain;1;En service;1982-12-31;;Communauté d'Agglomération du Pays Nord Martinique;SOCIETE MARTINIQUAISE DES EAUX;Bellefontaine;97234;698439;1622254;UTM Nord fuseau 20;39;14.6665533;-61.1572878;1900;114;428;3667;213;Boue activée aération prolongée (très faible charge);Table d'égouttage;Arrêté du 21 juillet 2015 relatif à l'assainissement des agglomérations;2007-12-20;Traitement secondaire;2005-12-31;2030-12-31;;;;;;;Non;Traitement secondaire;;;;Non;Non valide;Oui;Oui;;;Oui; ;24.35;0;0;Non;0;0;15;0;0;0;0;0;0;0;0;2024-12-17;Rejet Fond Laillet/Cheval Blanc/bourgFond Laillet/;Eau côtière;Martinique;698090;1622266;14.6666874;-61.1605266;Non;Hors Zone Sensible;FR_HZS_00000  ;Non;;Non;;080000197234;SC du STEU : Fond Laillet/Cheval Blanc/bourgFond Laillet/Che;FRJC002;Nord-Caraibe;97234 : Bellefontaine
2022;export-as-telechargement(2).csv;MARTINIQUE;1;MARTINIQUE;972;DEAL de Martinique;SPE de la Martinique;080000197204;CARBET-BOURG;Le Carbet;97204;En activité;1981;1;1;1;2354;"[ 2 000 ; 10 000 [ EH";2354;4000;Non;Oui;Oui;Non;2024-12-17;Séparatif;Absence de rejets directs temps sec;0;2018-12-31;080000197204;LE CARBET - BOURG;Urbain;1;En service;2007-01-01;;Communauté d'Agglomération du Pays Nord Martinique;SOCIETE MARTINIQUAISE DES EAUX;Le Carbet;97204;696150;1626990;UTM Nord fuseau 20;39;14.7095195;-61.1781813;4000;240;738;2354;524;Boue activée faible charge;Filtration à bande;Arrêté du 21 juillet 2015 relatif à l'assainissement des agglomérations;2013-07-19;Traitement secondaire;2005-12-31;2030-05-02;;;;;;;Non;Traitement secondaire;Dénitrification;;Désinfection;Non;Non valide;Oui;Oui;;;Oui; ;28.15;0;0;Non;0;0;28;0;0;0;0;0;0;0;0;2024-12-17;Rejet bourg;Eau douce de surface;mer caraïbes;696065;1626965;14.7092998;-61.1789724;Non;Hors Zone Sensible;FR_HZS_00000  ;Non;;Non;;080000197204;SC du STEU : bourg;FRJR119;Carbet;97204 : Le Carbet
2022;export-as-telechargement(2).csv;MARTINIQUE;1;MARTINIQUE;972;DEAL de Martinique;SPE de la Martinique;080000297204;CARBET-BOUT-BOIS;Le Carbet;97204;En activité;1990;1;1;1;0;Taille ≤ 200 EH;0;80;Oui;Non;N/A;Non;2024-12-19;Inconnu;Absence de rejets directs temps sec;0;;080000297204;LE CARBET - BOUT BOIS;Urbain;1;En service;1990-01-01;;Communauté d'Agglomération du Pays Nord Martinique;SOCIETE MARTINIQUAISE DES EAUX;Le Carbet;97204;697932;1628693;UTM Nord fuseau 20;39;14.7247785;-61.1615074;80;5;0;0;0;Décantation physique;Epaississement statique gravitaire;;;Traitement approprié;0000-00-00;1990-01-01;;;;;;;Oui;Traitement approprié;;;;Non;Non valide;;;;;Non;Non transmission de l'autosurveillance (STEU);0;0;0;Non;0;0;0;0;0;0;0;0;0;0;0;2024-12-19;REJET PRINCIPAL DE CARBET;Eau douce de surface;MARTINIQUE               ;697943;1628689;14.7247415;-61.1614056;Non;Hors Zone Sensible;FR_HZS_00000  ;Non;;Non;;S080000297204;Systeme de collecte - CARBET;FRJC002;Nord-Caraibe;97204 : Le Carbet
2022;export-as-telechargement(2).csv;MARTINIQUE;1;MARTINIQUE;972;DEAL de Martinique;SPE de la Martinique;080000197205;CASE-PILOTE;Case-Pilote;97205;En activité;2001;1;1;1;7000;"[ 2 000 ; 10 000 [ EH";7000;7000;Non;Non;Oui;Non;2024-12-17;Séparatif;Absence de rejets directs temps sec;0;2021-01-01;080000197205;CASE-PILOTE - MANIBA;Urbain;1;En service;2001-01-01;;Communauté d'Agglomération du Pays Nord Martinique;SOCIETE MARTINIQUAISE DES EAUX;Case-Pilote;97205;700496;1619910;UTM Nord fuseau 20;39;14.6452191;-61.1383726;7000;420;463;7000;386;Boue activée aération prolongée (très faible charge);Filtration à bande;Arrêté du 21 juillet 2015 relatif à l'assainissement des agglomérations;;Traitement secondaire;2005-12-31;2030-01-01;;;;;;;Non;Traitement secondaire;Dénitrification;;;Non;Non valide;Non;Non;;;Non;Point de mesure A2 absent;34.51;0;0;Non;0;0;35;0;0;0;0;0;0;0;0;2024-12-17;Rejet MANIBA;Eau côtière;Mer des Caraïbes;699712;1619127;14.6382014;-61.1457088;Non;Hors Zone Sensible;FR_HZS_00000  ;Non;;Non;;080000197205;SC du STEU : MANIBA;FRJC002;Nord-Caraibe;97205 : Case-Pilote
2022;export-as-telechargement(2).csv;MARTINIQUE;1;MARTINIQUE;972;DEAL de Martinique;SPE de la Martinique;080000297205;CASE-PILOTE-BATISOLEIL;Case-Pilote;97205;En activité;1990;1;1;1;13;Taille ≤ 200 EH;13;80;Oui;Oui;N/A;Oui;2024-12-19;Inconnu;Absence de rejets directs temps sec;0;;080000297205;CASE-PILOTE - BATISOLEIL;Urbain;1;En service;1990-01-01;;Communauté d'Agglomération du Pays Nord Martinique;SOCIETE MARTINIQUAISE DES EAUX;Case-Pilote;97205;699299;1621259;UTM Nord fuseau 20;39;14.6574983;-61.1493804;80;5;10;13;10;Boue activée faible charge;Epaississement statique gravitaire;;;Traitement approprié;2005-12-31;1990-01-01;;;;;;;Oui;Traitement approprié;;;;Non;Non valide;;;;;Oui; ;0;0;0;Non;0;0;0;0;0;0;0;0;0;0;0;2024-12-19;REJET PRINCIPAL DE CASE-PILOTE;Eau douce de surface;MARTINIQUE               ;699295;1621254;14.6574534;-61.1494179;Non;Hors Zone Sensible;FR_HZS_00000  ;Non;;Non;;S080000297205;Systeme de collecte - CASE-PILOTE;FRJC002;Nord-Caraibe;97205 : Case-Pilote
2022;export-as-telechargement(2).csv;MARTINIQUE;4;MARTINIQUE;972;DEAL de Martinique;SPE de la Martinique;080000497205;CASE-PILOTE-CGOSH;Case-Pilote;97205;En activité;2000;1;1;1;0;Taille ≤ 200 EH;0;40;Non;Non;N/A;Non;2024-12-19;Inconnu;Absence de rejets directs temps sec;0;;080000697205;CASE-PILOTE - CGOSH;Privé;4;En service;2000-01-28;;COMITE GESTION OEUVRES SOCIALES HOSPIT;SOC EAUX ET ASSAINISSEMENT;Case-Pilote;97205;701332;1618870;UTM Nord fuseau 20;39;14.6357588;-61.1306928;40;2;0;0;0;Boue activée forte charge;;;;Traitement approprié;2005-12-31;2023-12-31;;;;;;;Non;Traitement approprié;;;;Non;Non valide;;;;;Non;Non transmission de l'autosurveillance (STEU);0;0;0;Non;0;0;0;0;0;0;0;0;0;0;0;2024-12-19;REJET PRINCIPAL DE CASE-PILOTE;Eau douce de surface;MARTINIQUE               ;701334;1618869;14.6357496;-61.1306743;Non;Hors Zone Sensible;FR_HZS_00000  ;Non;;Non;;S080000697205;Systeme de collecte - CASE-PILOTE;FRJC002;Nord-Caraibe;97205 : Case-Pilote
