indicator_id;perimeter_id;statut_attente;annee_debut;annee_fin;note
AC_001;CACEM_EPCI;EXPECTED;2022;;
AC_001;CAESM_EPCI;EXPECTED;2022;;
AC_001;CAP_NORD_EPCI;EXPECTED;2022;;
AC_001;MARTINIQUE;EXPECTED;2022;;
AC_002;CACEM_EPCI;EXPECTED;2022;;
AC_002;CAESM_EPCI;EXPECTED;2022;;
AC_002;CAP_NORD_EPCI;EXPECTED;2022;;
AC_002;MARTINIQUE;EXPECTED;2022;;
AC_003;MARTINIQUE;EXPECTED;2022;;
AC_004;CACEM_EPCI;EXPECTED;2022;;
AC_004;CAESM_EPCI;EXPECTED;2022;;
AC_004;CAP_NORD_EPCI;EXPECTED;2022;;
AC_004;MARTINIQUE;EXPECTED;2022;;
AC_005;CACEM_EPCI;EXPECTED;2022;;
AC_005;CAESM_EPCI;EXPECTED;2022;;
AC_005;CAP_NORD_EPCI;EXPECTED;2022;;
AC_005;MARTINIQUE;EXPECTED;2022;;
AC_006;MARTINIQUE;EXPECTED;2022;;
AC_007;MARTINIQUE;EXPECTED;2022;;
AC_008;CACEM_EPCI;EXPECTED;2022;;
AC_008;CAESM_EPCI;EXPECTED;2022;;
AC_008;CAP_NORD_EPCI;EXPECTED;2022;;
AC_008;MARTINIQUE;EXPECTED;2022;;
AC_009;CACEM_EPCI;EXPECTED;2022;;
AC_009;CAESM_EPCI;EXPECTED;2022;;
AC_009;CAP_NORD_EPCI;EXPECTED;2022;;
AC_009;MARTINIQUE;EXPECTED;2022;;
AC_010;MARTINIQUE;EXPECTED;2022;;
AC_011;MARTINIQUE;EXPECTED;2022;;
AC_012;CACEM_EPCI;EXPECTED;2022;;
AC_012;CAESM_EPCI;EXPECTED;2022;;
AC_012;CAP_NORD_EPCI;EXPECTED;2022;;
AC_012;MARTINIQUE;EXPECTED;2022;;
AC_013;CACEM_EPCI;EXPECTED;2022;;
AC_013;CAESM_EPCI;EXPECTED;2022;;
AC_013;CAP_NORD_EPCI;EXPECTED;2022;;
AC_014;MARTINIQUE;EXPECTED;2022;;
AC_015;MARTINIQUE;EXPECTED;2022;;
AC_016;CACEM_EPCI;EXPECTED;2022;;
AC_016;CAESM_EPCI;EXPECTED;2022;;
AC_016;CAP_NORD_EPCI;EXPECTED;2022;;
AC_016;MARTINIQUE;EXPECTED;2022;;
AC_017;MARTINIQUE;EXPECTED;2022;;Déclinaison publiée : Trois-Ilets.
ANC_001;MARTINIQUE;EXPECTED;2022;;
ANC_002;MARTINIQUE;EXPECTED;2022;;
ANC_003;MARTINIQUE;EXPECTED;2022;;
ANC_004;MARTINIQUE;EXPECTED;2022;;Non chiffré dans la validation 2022 : attente par défaut.
ANC_005;MARTINIQUE;EXPECTED;2022;;
ANC_006;MARTINIQUE;EXPECTED;2022;;
ANC_007;MARTINIQUE;EXPECTED;2022;;
ANC_008;MARTINIQUE;EXPECTED;2022;;
ANC_009;MARTINIQUE;EXPECTED;2022;;
ANC_010;MARTINIQUE;EXPECTED;2022;;
ANC_011;MARTINIQUE;EXPECTED;2022;;
ANC_012;CACEM_EPCI;EXPECTED;2022;;
ANC_012;CAESM_EPCI;EXPECTED;2022;;
ANC_012;CAP_NORD_EPCI;EXPECTED;2022;;
ANC_013;MARTINIQUE;EXPECTED;2022;;Non chiffré dans la validation 2022 : attente par défaut.
ANC_014;FRANCE;REFERENCE_EXTERNE;2022;;
ANC_014;GUADELOUPE;REFERENCE_EXTERNE;2022;;
ANC_014;MARTINIQUE;REFERENCE_ONLY;2022;;
ANC_015;MARTINIQUE;EXPECTED;2022;;
EP_001;MARTINIQUE;EXPECTED;2022;;
EP_002;MARTINIQUE;REFERENCE_ONLY;2022;;Non chiffré dans la validation 2022 : attente par défaut.
EP_003;CACEM_EPCI;EXPECTED;2022;;
EP_003;CAESM_EPCI;EXPECTED;2022;;
EP_003;CAP_NORD_EPCI;EXPECTED;2022;;
EP_003;MARTINIQUE;EXPECTED;2022;;
EP_004;CACEM_EPCI;EXPECTED;2022;;
EP_004;CAESM_EPCI;EXPECTED;2022;;
EP_004;CAP_NORD_EPCI;EXPECTED;2022;;
EP_004;MARTINIQUE;EXPECTED;2022;;
EP_005;MARTINIQUE;EXPECTED;2022;;
EP_006;CACEM_EPCI;EXPECTED;2022;;
EP_006;CAESM_EPCI;EXPECTED;2022;;
EP_006;CAP_NORD_EPCI;EXPECTED;2022;;
EP_006;MARTINIQUE;EXPECTED;2022;;
EP_007;MARTINIQUE;EXPECTED;2022;;
EP_008;MARTINIQUE;EXPECTED;2022;;
EP_009;MARTINIQUE;EXPECTED;2022;;
EP_010;MARTINIQUE;EXPECTED;2022;;
EP_011;MARTINIQUE;EXPECTED;2022;;
EP_012;MARTINIQUE;EXPECTED;2022;;
EP_013;MARTINIQUE;EXPECTED;2022;;Déclinaison publiée : Rivière Blanche.
EP_014;MARTINIQUE;EXPECTED;2022;;
EP_015;MARTINIQUE;EXPECTED;2022;;
EP_016;MARTINIQUE;EXPECTED;2022;;Non chiffré dans la validation 2022 : attente par défaut.
EP_017;CACEM_EPCI;EXPECTED;2022;;
EP_017;CAESM_EPCI;EXPECTED;2022;;
EP_017;CAP_NORD_EPCI;EXPECTED;2022;;
EP_017;MARTINIQUE;EXPECTED;2022;;
EP_018;MARTINIQUE;EXPECTED;2022;;Déclinaison publiée : Martinique - PVC.
EP_019;CACEM_EPCI;EXPECTED;2022;;Régie ODYSSI.
EP_019;CAP_NORD_DSP_2020_2024;EXPECTED;2022;2024;Contrat SME CAP Nord (16 communes + secteurs Robert CN / Trinité CN).
EP_019;CAP_NORD_SAUR_2025_2027;EXPECTED;2025;;Contrat SAUR à partir de 2025 : à confirmer lors de la production 2025.
EP_019;EX_SICSM_DSP_2015_2027;EXPECTED;2022;2027;Publié « CAESM (+ Robert/Trinité) » : non ventilable entre CAESM et Robert-Trinité.
EP_019;FRANCE;REFERENCE_EXTERNE;2022;;
EP_020;CACEM_EPCI;EXPECTED;2022;;Régie ODYSSI.
EP_020;CAP_NORD_DSP_2020_2024;EXPECTED;2022;2024;Contrat SME CAP Nord (16 communes + secteurs Robert CN / Trinité CN).
EP_020;CAP_NORD_SAUR_2025_2027;EXPECTED;2025;;Contrat SAUR à partir de 2025 : à confirmer lors de la production 2025.
EP_020;EX_SICSM_DSP_2015_2027;EXPECTED;2022;2027;Publié « CAESM (+ Robert/Trinité) » : non ventilable entre CAESM et Robert-Trinité.
EP_020;FRANCE;REFERENCE_EXTERNE;2022;;
