indicator_id;type;domaine;libelle;unite;granularite;agregation_martinique;acquisition;source_cible;code_officiel
RES_001;PUBLICATION;RESSOURCE;Part des prélèvements destinée à l'eau potable;%;Martinique / France;NON_ADDITIF;AUTO + calcul;BNPE / Hub'Eau Prélèvements;
RES_002;PUBLICATION;RESSOURCE;Part des prélèvements destinée à l'irrigation / agriculture;%;Martinique / France;NON_ADDITIF;AUTO + calcul;BNPE / Hub'Eau Prélèvements;
RES_003;PUBLICATION;RESSOURCE;Part des prélèvements destinée aux usages industriels / autres;%;Martinique / France;NON_ADDITIF;AUTO + calcul;BNPE / Hub'Eau Prélèvements;
RES_004;PUBLICATION;RESSOURCE;Part de l'eau AEP provenant des cours d'eau;%;Martinique;NON_ADDITIF;AUTO + calcul;BNPE + référentiel ouvrages / SISPEA contexte;DC.192 (information proche, inverse : part souterraine)
RES_005;PUBLICATION;RESSOURCE;Part de l'eau AEP provenant du sous-sol;%;Martinique;NON_ADDITIF;AUTO + calcul;BNPE + SISPEA;DC.192
RES_006;PUBLICATION;RESSOURCE;Part du volume AEP provenant de la Lézarde et affluent Rivière Blanche;%;Cours d'eau / Martinique;NON_ADDITIF;AUTO + calcul;BNPE + référentiel hydrographique SANDRE;
RES_007;PUBLICATION;RESSOURCE;Nombre total de captages pour l'eau potable;nb;Ouvrage / Martinique;NON_ADDITIF;SEMI-AUTO;BNPE/SANDRE ouvrages + ODE/ARS;
RES_008;PUBLICATION;RESSOURCE;Nombre de prises d'eau en rivière;nb;Ouvrage / Martinique;NON_ADDITIF;SEMI-AUTO;BNPE/SANDRE ouvrages + ODE;
RES_009;PUBLICATION;RESSOURCE;Nombre de captages souterrains;nb;Ouvrage / Martinique;NON_ADDITIF;SEMI-AUTO;BNPE/SANDRE ouvrages + ODE;
RES_010;PUBLICATION;RESSOURCE;Nombre de sources;nb;Ouvrage / Martinique;NON_ADDITIF;SEMI-AUTO;BNPE/SANDRE ouvrages + ODE;
RES_011;PUBLICATION;RESSOURCE;Nombre de forages;nb;Ouvrage / Martinique;NON_ADDITIF;SEMI-AUTO;BNPE/SANDRE ouvrages + ODE;
RES_012;PUBLICATION;RESSOURCE;Nombre de captages disposant d'un périmètre de protection;nb;Ouvrage / Martinique;NON_ADDITIF;SEMI-AUTO;ARS / ODE / arrêtés préfectoraux;P108.3 est lié mais non équivalent
RES_013;PUBLICATION;RESSOURCE;Taux de captages protégés;%;Martinique;NON_ADDITIF;SEMI-AUTO + calcul;ARS / ODE;P108.3 est lié mais non équivalent
RES_014;PUBLICATION;RESSOURCE;Volume total prélevé pour l'AEP;m³/an;Ouvrage / Martinique;NON_ADDITIF;AUTO;"BNPE / Hub'Eau ; contrôle SISPEA";VP.062 au niveau service
RES_015;PUBLICATION;RESSOURCE;Volume total prélevé tous usages;m³/an;Ouvrage / Martinique;NON_ADDITIF;AUTO;BNPE / Hub'Eau;
RES_016;PUBLICATION;RESSOURCE;Volume prélevé pour l'irrigation;m³/an;Ouvrage / Martinique;NON_ADDITIF;AUTO;BNPE / Hub'Eau;
RES_017;PUBLICATION;RESSOURCE;Volume prélevé pour les autres usages;m³/an;Ouvrage / Martinique;NON_ADDITIF;AUTO;BNPE / Hub'Eau;
RES_018;PUBLICATION;RESSOURCE;Débit annuel moyen équivalent des prélèvements AEP;L/s;Martinique;NON_ADDITIF;AUTO + calcul;Calcul interne à partir de RES_014;
RES_019;PUBLICATION;RESSOURCE;Volume prélevé par captage;m³/an;Captage;NON_ADDITIF;AUTO;BNPE / Hub'Eau + référentiel ouvrages;VP.223 possible côté SISPEA
EP_001;PUBLICATION;EAU_POTABLE;Consommation moyenne par jour et par habitant;L/j/hab;Martinique;NON_ADDITIF;AUTO + calcul;"SISPEA + INSEE ; méthode ODE à verrouiller";
EP_002;PUBLICATION;EAU_POTABLE;Répartition des usages domestiques (boisson, divers, jardin/auto, lessive, cuisine/vaisselle, sanitaires, bain/douche);%;France / référence;NON_ADDITIF;MANUEL / RÉFÉRENCE;Référence figée ou étude actualisée à choisir;
EP_003;PUBLICATION;EAU_POTABLE;Conformité microbiologique de l'eau distribuée;%;Service / EPCI / Martinique;NON_ADDITIF;AUTO;"SISPEA ; ARS/DGS en contrôle";"P101.1 ; VP.126/VP.127"
EP_004;PUBLICATION;EAU_POTABLE;Conformité physico-chimique de l'eau distribuée;%;Service / EPCI / Martinique;NON_ADDITIF;AUTO;"SISPEA ; ARS/DGS en contrôle";"P102.1 ; VP.128/VP.129"
EP_005;PUBLICATION;EAU_POTABLE;Nombre d'abonnés au service d'eau potable;abonnés;Service / EPCI / Martinique;SOMME_EPCI;AUTO;SISPEA Open Data;VP.056
EP_006;PUBLICATION;EAU_POTABLE;Volume d'eau potable facturé;m³/an;Service / EPCI / Martinique;SOMME_EPCI;AUTO;SISPEA Open Data;VP.068
EP_007;PUBLICATION;EAU_POTABLE;Volume produit;m³/an;Service / Martinique;SOMME_EPCI;AUTO;SISPEA;VP.059
EP_008;PUBLICATION;EAU_POTABLE;Part de l'eau prélevée AEP qui est facturée;%;Martinique;NON_ADDITIF;AUTO + calcul;RES_014 + EP_006;
EP_009;PUBLICATION;EAU_POTABLE;Pertes entre prélèvement et production;%;Martinique;NON_ADDITIF;AUTO + calcul;RES_014 + EP_007;
EP_010;PUBLICATION;EAU_POTABLE;Pertes réseau et volumes non comptabilisés / non facturés;%;Martinique;NON_ADDITIF;AUTO + calcul;SISPEA volumes;P104.3 / P105.3 / P106.3 à conserver séparément
EP_011;PUBLICATION;EAU_POTABLE;Nombre d'unités de production d'eau potable;nb;Usine / Martinique;NON_ADDITIF;SEMI-AUTO;ODE / RPQS / RAD / référentiel local;
EP_012;PUBLICATION;EAU_POTABLE;Part de production des 5 principales usines;%;Usine / Martinique;NON_ADDITIF;SEMI-AUTO + calcul;SISPEA/RAD + référentiel usines;VP.194 potentiellement utile
EP_013;PUBLICATION;EAU_POTABLE;Production / part par grande usine (Rivière Blanche, Durand, Directoire, Didier, Vivé);% et m³;Usine;NON_ADDITIF;SEMI-AUTO;RAD / exploitants / SISPEA ouvrage si disponible;VP.194
EP_014;PUBLICATION;EAU_POTABLE;Nombre de réservoirs;nb;Réservoir / EPCI / Martinique;SOMME_EPCI;SEMI-AUTO;RPQS/RAD + référentiel patrimoine ODE;
EP_015;PUBLICATION;EAU_POTABLE;Capacité totale de stockage;m³;Réservoir / Martinique;SOMME_EPCI;SEMI-AUTO;RPQS/RAD + référentiel patrimoine ODE;
EP_016;PUBLICATION;EAU_POTABLE;Autonomie de stockage selon les zones;heures à jours;Zone;NON_ADDITIF;MANUEL / CALCUL;Modèle ODE + stockage + demande;
EP_017;PUBLICATION;EAU_POTABLE;Linéaire de réseau d'eau potable;km;Service / EPCI / Martinique;SOMME_EPCI;AUTO;SISPEA;VP.077
EP_018;PUBLICATION;EAU_POTABLE;Composition du réseau par matériau;%;Martinique / tronçon;NON_ADDITIF;SEMI-AUTO;SIG patrimonial / RPQS-RAD;
EP_019;PUBLICATION;EAU_POTABLE;Rendement hydraulique;%;Service / EPCI / Martinique;NON_ADDITIF;AUTO;SISPEA;P104.3
EP_020;PUBLICATION;EAU_POTABLE;Indice linéaire de pertes;m³/km/j;Service / EPCI / Martinique;NON_ADDITIF;AUTO;SISPEA;P106.3
EP_021;PUBLICATION;EAU_POTABLE;Taux moyen de renouvellement des réseaux;%;Service / EPCI / Martinique;NON_ADDITIF;AUTO;SISPEA;P107.2
AC_001;PUBLICATION;ASSAINISSEMENT_COLLECTIF;Linéaire de réseau d'assainissement collectif;km;Service / EPCI / Martinique;SOMME_EPCI;AUTO;SISPEA;"VP.077 ; VP.199 ; VP.200"
AC_002;PUBLICATION;ASSAINISSEMENT_COLLECTIF;Nombre de postes de refoulement;nb;Ouvrage / EPCI / Martinique;SOMME_EPCI;SEMI-AUTO;RPQS/RAD + inventaire patrimonial;
AC_003;PUBLICATION;ASSAINISSEMENT_COLLECTIF;Nombre de STEU publiques;nb;STEU / Martinique;NON_ADDITIF;AUTO/SEMI-AUTO;Portail national assainissement + ODE;
AC_004;PUBLICATION;ASSAINISSEMENT_COLLECTIF;Nombre de STEU publiques de plus de 200 EH;nb;STEU / EPCI / Martinique;NON_ADDITIF;AUTO/SEMI-AUTO;Portail national assainissement + ODE;
AC_005;PUBLICATION;ASSAINISSEMENT_COLLECTIF;Capacité nominale cumulée des STEU publiques > 200 EH;EH;STEU / EPCI / Martinique;NON_ADDITIF;AUTO;Portail national assainissement;
AC_006;PUBLICATION;ASSAINISSEMENT_COLLECTIF;Part de capacité des 4 plus grosses STEU;% / EH;STEU / Martinique;NON_ADDITIF;AUTO + calcul;Portail national assainissement;
AC_007;PUBLICATION;ASSAINISSEMENT_COLLECTIF;Part de capacité des 42 plus petites STEU;% / EH;STEU / Martinique;NON_ADDITIF;AUTO + calcul;Portail national assainissement;
AC_008;PUBLICATION;ASSAINISSEMENT_COLLECTIF;Part de capacité EH conforme / non conforme;%;STEU / EPCI / Martinique;NON_ADDITIF;AUTO + calcul;Portail national assainissement;P203.3/P204.3/P205.3 historiques, mais ne reproduisent pas directement ce graphique
