perimeter_id;territoire;type;alias
MARTINIQUE;Martinique;DEPARTEMENT;Martinique|MARTINIQUE|972
CACEM_EPCI;CACEM;EPCI;CACEM
CAESM_EPCI;CAESM;EPCI;CAESM
CAP_NORD_EPCI;CAP_NORD;EPCI;CAP_NORD|CAP Nord
EX_SICSM_DSP_2015_2027;EX_SICSM;CONTRAT;EX_SICSM
CAP_NORD_DSP_2020_2024;CAP_NORD_DSP_2020_2024;CONTRAT;
CAP_NORD_SAUR_2025_2027;CAP_NORD_SAUR_2025_2027;CONTRAT;
ROBERT_TRINITE_EXSICSM;ROBERT_TRINITE;SECTEUR;ROBERT_TRINITE
ROBERT_CN;ROBERT_CN;SECTEUR;
TRINITE_CN;TRINITE_CN;SECTEUR;
FRANCE;France;REFERENCE;France
GUADELOUPE;Guadeloupe;REFERENCE;Guadeloupe
